,bomtitle,bomlink,year,genre_text,Genre_0,Genre_1,Genre_2,Genre_3,Genre_4,Genre_5,Genre_6,Genre_7
34,Mission to Mars,https://www.boxofficemojo.com/release/rl3596781057/?ref_=bo_yld_table_35,2000,"['Adventure', 'Sci-Fi', 'Thriller']",Adventure,Sci-Fi,Thriller,,,,,
35,Coyote Ugly,https://www.boxofficemojo.com/release/rl1900905985/?ref_=bo_yld_table_36,2000,"['Comedy', 'Drama', 'Music', 'Romance']",Comedy,Drama,Music,Romance,,,,
36,Snow Day,https://www.boxofficemojo.com/release/rl57705985/?ref_=bo_yld_table_37,2000,"['Adventure', 'Comedy', 'Family']",Adventure,Comedy,Family,,,,,
37,Fantasia 2000,https://www.boxofficemojo.com/release/rl3830482433/?ref_=bo_yld_table_38,2000,"['Animation', 'Comedy', 'Family', 'Fantasy', 'Music']",Animation,Comedy,Family,Fantasy,Music,,,
38,American Beauty,https://www.boxofficemojo.com/release/rl2839774721/?ref_=bo_yld_table_39,2000,['Drama'],Drama,,,,,,,
39,Next Friday,https://www.boxofficemojo.com/release/rl845645313/?ref_=bo_yld_table_40,2000,['Comedy'],Comedy,,,,,,,
40,The Whole Nine Yards,https://www.boxofficemojo.com/release/rl2054915585/?ref_=bo_yld_table_41,2000,"['Comedy', 'Crime']",Comedy,Crime,,,,,,
41,Shanghai Noon,https://www.boxofficemojo.com/release/rl4050552321/?ref_=bo_yld_table_42,2000,"['Action', 'Adventure', 'Comedy', 'Western']",Action,Adventure,Comedy,Western,,,,
42,Romeo Must Die,https://www.boxofficemojo.com/release/rl2674689537/?ref_=bo_yld_table_43,2000,"['Action', 'Crime', 'Thriller']",Action,Crime,Thriller,,,,,
43,102 Dalmatians,https://www.boxofficemojo.com/release/rl927041025/?ref_=bo_yld_table_44,2000,"['Adventure', 'Comedy', 'Family']",Adventure,Comedy,Family,,,,,
44,The Cider House Rules,https://www.boxofficemojo.com/release/rl2219542017/?ref_=bo_yld_table_45,2000,"['Drama', 'Romance']",Drama,Romance,,,,,,
45,Final Destination,https://www.boxofficemojo.com/release/rl3193144833/?ref_=bo_yld_table_46,2000,"['Horror', 'Thriller']",Horror,Thriller,,,,,,
46,The Talented Mr. Ripley,https://www.boxofficemojo.com/release/rl1433765377/?ref_=bo_yld_table_47,2000,"['Crime', 'Drama', 'Thriller']",Crime,Drama,Thriller,,,,,
47,Galaxy Quest,https://www.boxofficemojo.com/release/rl1347782145/?ref_=bo_yld_table_48,2000,"['Adventure', 'Comedy', 'Sci-Fi']",Adventure,Comedy,Sci-Fi,,,,,
48,The Road to El Dorado,https://www.boxofficemojo.com/release/rl1869383169/?ref_=bo_yld_table_49,2000,"['Adventure', 'Animation', 'Comedy', 'Family', 'Romance']",Adventure,Animation,Comedy,Family,Romance,,,
49,The Hurricane,https://www.boxofficemojo.com/release/rl3797452289/?ref_=bo_yld_table_50,2000,"['Biography', 'Drama', 'Sport']",Biography,Drama,Sport,,,,,
50,Vertical Limit,https://www.boxofficemojo.com/release/rl1702462977/?ref_=bo_yld_table_51,2000,"['Action', 'Adventure', 'Drama', 'Thriller']",Action,Adventure,Drama,Thriller,,,,
51,Men of Honor,https://www.boxofficemojo.com/release/rl157451777/?ref_=bo_yld_table_52,2000,"['Biography', 'Drama']",Biography,Drama,,,,,,
52,Toy Story 2,https://www.boxofficemojo.com/release/rl1417119233/?ref_=bo_yld_table_53,2000,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",Adventure,Animation,Comedy,Family,Fantasy,,,
53,The Tigger Movie,https://www.boxofficemojo.com/release/rl2406778369/?ref_=bo_yld_table_54,2000,"['Animation', 'Comedy', 'Drama', 'Family', 'Musical']",Animation,Comedy,Drama,Family,Musical,,,
