year,bomrank,bomtitle,imdblink,bomlink
2004,51,Dawn of the Dead,http://www.imdb.com/title/tt0363547/,http://www.boxofficemojo.com/movies/?id=dawnofthedead.htm
2004,52,Without a Paddle,http://www.imdb.com/title/tt0364751/,http://www.boxofficemojo.com/movies/?id=withoutapaddle.htm
2004,53,The Butterfly Effect,http://www.imdb.com/title/tt0289879/,http://www.boxofficemojo.com/movies/?id=butterflyeffect.htm
2004,54,Shall We Dance,http://www.imdb.com/title/tt0358135/,http://www.boxofficemojo.com/movies/?id=shallwedance.htm
2004,55,The Chronicles of Riddick,http://www.imdb.com/title/tt0296572/,http://www.boxofficemojo.com/movies/?id=chroniclesofriddick.htm
2004,56,13 Going on 30,http://www.imdb.com/title/tt0337563/,http://www.boxofficemojo.com/movies/?id=13goingon30.htm
2004,57,Saw,http://www.imdb.com/title/tt0387564/,http://www.boxofficemojo.com/movies/?id=saw.htm
2004,58,Hero,http://www.imdb.com/title/tt0299977/,http://www.boxofficemojo.com/movies/?id=hero02.htm
2004,59,Blade: Trinity,http://www.imdb.com/title/tt0359013/,http://www.boxofficemojo.com/movies/?id=blade3.htm
2004,60,King Arthur,http://www.imdb.com/title/tt0349683/,http://www.boxofficemojo.com/movies/?id=kingarthur.htm
2004,61,Finding Neverland,http://www.imdb.com/title/tt0308644/,http://www.boxofficemojo.com/movies/?id=findingneverland.htm
2004,62,A Cinderella Story,http://www.imdb.com/title/tt0356470/,http://www.boxofficemojo.com/movies/?id=cinderellastory.htm
2004,63,The Phantom of the Opera,http://www.imdb.com/title/tt0293508/,http://www.boxofficemojo.com/movies/?id=phantomoftheopera.htm
2004,64,Resident Evil: Apocalypse,http://www.imdb.com/title/tt0318627/,http://www.boxofficemojo.com/movies/?id=residentevilapocalypse.htm
2004,65,Home on the Range,http://www.imdb.com/title/tt0299172/,http://www.boxofficemojo.com/movies/?id=homeontherange.htm
2004,66,Fat Albert,http://www.imdb.com/title/tt0396592/,http://www.boxofficemojo.com/movies/?id=fatalbert.htm
2004,67,Secret Window,http://www.imdb.com/title/tt0363988/,http://www.boxofficemojo.com/movies/?id=secretwindow.htm
2004,68,Walking Tall,http://www.imdb.com/title/tt0351977/,http://www.boxofficemojo.com/movies/?id=walkingtall.htm
2004,69,In Good Company,http://www.imdb.com/title/tt0385267/,http://www.boxofficemojo.com/movies/?id=ingoodcompany.htm
2004,70,Napoleon Dynamite,http://www.imdb.com/title/tt0374900/,http://www.boxofficemojo.com/movies/?id=napoleondynamite.htm
2004,71,Spanglish,http://www.imdb.com/title/tt0371246/,http://www.boxofficemojo.com/movies/?id=spanglish.htm
2004,72,Exorcist: The Beginning,http://www.imdb.com/title/tt0204313/,http://www.boxofficemojo.com/movies/?id=exorcist4.htm
2004,73,You Got Served,http://www.imdb.com/title/tt0365957/,http://www.boxofficemojo.com/movies/?id=yougotserved.htm
2004,74,Bridget Jones: The Edge of Reason,http://www.imdb.com/title/tt0317198/,http://www.boxofficemojo.com/movies/?id=bridgetjones2.htm
2004,75,Catwoman,http://www.imdb.com/title/tt0327554/,http://www.boxofficemojo.com/movies/?id=catwoman.htm
2004,76,The Ladykillers,http://www.imdb.com/title/tt0335245/,http://www.boxofficemojo.com/movies/?id=ladykillers.htm
2004,77,Sky Captain and the World of Tomorrow,http://www.imdb.com/title/tt0346156/,http://www.boxofficemojo.com/movies/?id=skycaptain.htm
2004,78,Raising Helen,http://www.imdb.com/title/tt0350028/,http://www.boxofficemojo.com/movies/?id=raisinghelen.htm
2004,79,Taxi,http://www.imdb.com/title/tt0316732/,http://www.boxofficemojo.com/movies/?id=taxi.htm
2004,80,Eternal Sunshine of the Spotless Mind,http://www.imdb.com/title/tt0338013/,http://www.boxofficemojo.com/movies/?id=eternalsunshine.htm
2004,81,Alexander,http://www.imdb.com/title/tt0346491/,http://www.boxofficemojo.com/movies/?id=alexander.htm
