photoimage,actorname,actorimdb,dateofbirth,placeofbirth,minibio,trivia,race,gender,Domestic
,Anubhav Sinha,http://www.imdb.com/name/nm1025280/,,,,,,,1
,Anurag Basu,http://www.imdb.com/name/nm1397301/,,,,,,,0
,Arbaaz Khan,http://www.imdb.com/name/nm0451170/,,,,,,,0
,Ari Folman,http://www.imdb.com/name/nm0284369/,,,,,,,0
,Ari Sandel,http://www.imdb.com/name/nm1847738/,,,,,,,1
,Ariel Schulman,http://www.imdb.com/name/nm1413364/,,,,,,,1
,Ariel Vromen,http://www.imdb.com/name/nm1033517/,,,,,,,1
,Aristomenis Tsirbas,http://www.imdb.com/name/nm0875056/,,,,,,,1
,Armando Iannucci,http://www.imdb.com/name/nm0406334/,,,,,,,0
,Asger Leth,http://www.imdb.com/name/nm1300606/,,,,,,,1
,Asghar Farhadi,http://www.imdb.com/name/nm1410815/,,,,,,,0
,Ash Brannon,http://www.imdb.com/name/nm0105169/,,,,,,,1
,Ashutosh Gowariker,http://www.imdb.com/name/nm0332950/,,,,,,,0
,Asif Kapadia,http://www.imdb.com/name/nm0438090/,,,,,,,1
,Atom Egoyan,http://www.imdb.com/name/nm0000382/,,,,,,,1
,Ava DuVernay,http://www.imdb.com/name/nm1148550/,,,,,,,1
,Aviva Kempner,http://www.imdb.com/name/nm0447476/,,,,,,,1
,Ayan Mukerji,http://www.imdb.com/name/nm8196063/,,,,,,,0
,Baltasar Korm¨¢kur,http://www.imdb.com/name/nm0466349/,,,,,,,1
,Banksy,http://www.imdb.com/name/nm2612991/,,,,,,,0
,Barry Cook,http://www.imdb.com/name/nm0176905/,,,,,,,1
,Barry Levinson,http://www.imdb.com/name/nm0001469/,,,,,,,1
,Barry Sonnenfeld,http://www.imdb.com/name/nm0001756/,,,,,,,1
,Barry W. Blaustein,http://www.imdb.com/name/nm0087904/,,,,,,,1
,Bart Freundlich,http://www.imdb.com/name/nm0294505/,,,,,,,1
,Baz Luhrmann,http://www.imdb.com/name/nm0525303/,,,,,,,1
,Beeban Kidron,http://www.imdb.com/name/nm0452319/,,,,,,,0
,Ben Affleck,http://www.imdb.com/name/nm0000255/,,,,,,,1
,Ben Falcone,http://www.imdb.com/name/nm1229520/,,,,,,,1
,Ben Gluck,http://www.imdb.com/name/nm0994310/,,,,,,,1
,Ben Lewin,http://www.imdb.com/name/nm0506802/,,,,,,,1
,Ben Stassen,http://www.imdb.com/name/nm0823721/,,,,,,,1
,Ben Stiller,http://www.imdb.com/name/nm0001774/,,,,,,,1
,Benh Zeitlin,http://www.imdb.com/name/nm1022455/,,,,,,,1
,Bennett Miller,http://www.imdb.com/name/nm0587955/,,,,,,,1
,Benny Boom,http://www.imdb.com/name/nm1534600/,,,,,,,1
,Beno?t Jacquot,http://www.imdb.com/name/nm0415245/,,,,,,,0
,Benson Lee,http://www.imdb.com/name/nm0496863/,,,,,,,1
,Bernardo Bertolucci,http://www.imdb.com/name/nm0000934/,,,,,,,0
,Bernie Olaf,http://www.imdb.com/name/nm6457171/,,,,,,,1
,Beto G¨®mez,http://www.imdb.com/name/nm0351021/,,,,,,,0
,Betsy Chasse,http://www.imdb.com/name/nm0153912/,,,,,,,1
,Betty Thomas,http://www.imdb.com/name/nm0858525/,,,,,,,1
,Bharat Nalluri,http://www.imdb.com/name/nm0620576/,,,,,,,0
,Bibo Bergeron,http://www.imdb.com/name/nm0074426/,,,,,,,1
,Bill Condon,http://www.imdb.com/name/nm0174374/,,,,,,,1
,Bill Duke,http://www.imdb.com/name/nm0004886/,,,,,,,1
,Bill Paxton,http://www.imdb.com/name/nm0000200/,,,,,,,1
,Bill Pohlad,http://www.imdb.com/name/nm0688361/,,,,,,,1
,Bille Woodruff,http://www.imdb.com/name/nm0937306/,,,,,,,1
,Billy Ray,http://www.imdb.com/name/nm0712753/,,,,,,,1
,Bj?rn Stein,http://www.imdb.com/name/nm0825407/,,,,,,,1
,Blair Treu,http://www.imdb.com/name/nm0872316/,,,,,,,1
,Boaz Yakin,http://www.imdb.com/name/nm0945026/,,,,,,,1
,Bob Clark,http://www.imdb.com/name/nm0163706/,,,,,,,1
,Bob Dolman,http://www.imdb.com/name/nm0231190/,,,,,,,1
,Bob Gosse,http://www.imdb.com/name/nm0331606/,,,,,,,1
,Bob Odenkirk,http://www.imdb.com/name/nm0644022/,,,,,,,1
,Bob Peterson,http://www.imdb.com/name/nm0677037/,,,,,,,1
,Bobby Farrelly,http://www.imdb.com/name/nm0268370/,,,,,,,1
,Brad Anderson,http://www.imdb.com/name/nm0026442/,,,,,,,1
,Brad Bird,http://www.imdb.com/name/nm0083348/,,,,,,,1
,Brad Furman,http://www.imdb.com/name/nm1026778/,,,,,,,1
,Brad J. Silverman,http://www.imdb.com/name/nm0798888/,,,,,,,1
,Brad Lewis,http://www.imdb.com/name/nm0506977/,,,,,,,1
,Brad Peyton,http://www.imdb.com/name/nm0679031/,,,,,,,1
,Brad Silberling,http://www.imdb.com/name/nm0797869/,,,,,,,1
,Bradley Parker,http://www.imdb.com/name/nm0662086/,,,,,,,1
,Brandon Camp,http://www.imdb.com/name/nm0131969/,,,,,,,1
,Breck Eisner,http://www.imdb.com/name/nm0252135/,,,,,,,1
,Brenda Chapman,http://www.imdb.com/name/nm0152312/,,,,,,,1
,Brett Haley,http://www.imdb.com/name/nm1417640/,,,,,,,1
,Brett Ratner,http://www.imdb.com/name/nm0711840/,,,,,,,1
,Brian Baugh,http://www.imdb.com/name/nm0061982/,,,,,,,1
,Brian Dannelly,http://www.imdb.com/name/nm0200380/,,,,,,,1
,Brian De Palma,http://www.imdb.com/name/nm0000361/,,,,,,,1
,Brian Dublin,http://www.imdb.com/name/nm3818996/,,,,,,,0
,Brian Helgeland,http://www.imdb.com/name/nm0001338/,,,,,,,1
,Brian Klugman,http://www.imdb.com/name/nm0460206/,,,,,,,1
,Brian Koppelman,http://www.imdb.com/name/nm0002718/,,,,,,,1
,Brian Levant,http://www.imdb.com/name/nm0505152/,,,,,,,1
,Brian Percival,http://www.imdb.com/name/nm1093053/,,,,,,,1
,Brian Robbins,http://www.imdb.com/name/nm0005367/,,,,,,,1
,Brian Taylor,http://www.imdb.com/name/nm0962729/,,,,,,,1
,Bruce A. Evans,http://www.imdb.com/name/nm0262595/,,,,,,,1
,Bruce Beresford,http://www.imdb.com/name/nm0000915/,,,,,,,0
,Bruce Hendricks,http://www.imdb.com/name/nm0376712/,,,,,,,1
,Bruce Hunt,http://www.imdb.com/name/nm0402365/,,,,,,,1
,Bruce Robinson,http://www.imdb.com/name/nm0732430/,,,,,,,1
,Bruno Podalyd¨¨s,http://www.imdb.com/name/nm0687913/,,,,,,,0
,Bryan Barber,http://www.imdb.com/name/nm1309359/,,,,,,,1
,Bryan Bertino,http://www.imdb.com/name/nm1052162/,,,,,,,1
,Bryan Singer,http://www.imdb.com/name/nm0001741/,,,,,,,1
,Burr Steers,http://www.imdb.com/name/nm0824882/,,,,,,,1
,Byambasuren Davaa,http://www.imdb.com/name/nm1389025/,,,,,,,0
,Byron Howard,http://www.imdb.com/name/nm0397174/,,,,,,,1
,C.B. Harding,http://www.imdb.com/name/nm1085552/,,,,,,,1
,Cal Brunker,http://www.imdb.com/name/nm2117510/,,,,,,,1
,Callie Khouri,http://www.imdb.com/name/nm0451884/,,,,,,,1
,Cameron Crowe,http://www.imdb.com/name/nm0001081/,,,,,,,1
,Camille Delamarre,http://www.imdb.com/name/nm0216214/,,,,,,,0
,Carl Franklin,http://www.imdb.com/name/nm0002083/,,,,,,,1
,Carl Rinsch,http://www.imdb.com/name/nm0727754/,,,,,,,1
,Carlos Cuar¨®n,http://www.imdb.com/name/nm0190860/,,,,,,,0
,Carlos Saldanha,http://www.imdb.com/name/nm0757858/,,,,,,,1
,Carter Smith,http://www.imdb.com/name/nm2127650/,,,,,,,1
,Cary Joji Fukunaga,http://www.imdb.com/name/nm1560977/,,,,,,,0
,Catherine Hardwicke,http://www.imdb.com/name/nm0362566/,,,,,,,1
,Catherine Owens,http://www.imdb.com/name/nm3969724/,,,,,,,1
,Chad Stahelski,http://www.imdb.com/name/nm0821432/,,,,,,,1
,Chan-wook Park,http://www.imdb.com/name/nm0661791/,,,,,,,1
,Charles Dance,http://www.imdb.com/name/nm0001097/,,,,,,,0
,Charles Ferguson,http://www.imdb.com/name/nm2480587/,,,,,,,1
,Charles Guard,http://www.imdb.com/name/nm0345294/,,,,,,,1
,Charles Martin Smith,http://www.imdb.com/name/nm0001747/,,,,,,,1
,Charles Robert Carner,http://www.imdb.com/name/nm0138706/,,,,,,,1
,Charles S. Dutton,http://www.imdb.com/name/nm0001165/,,,,,,,1
,Charles Shyer,http://www.imdb.com/name/nm0796124/,,,,,,,1
,Charles Stone III,http://www.imdb.com/name/nm0831690/,,,,,,,1
,Charlie Kaufman,http://www.imdb.com/name/nm0442109/,,,,,,,1
,Charlie Siskel,http://www.imdb.com/name/nm0803020/,,,,,,,1
,Cheryl Dunye,http://www.imdb.com/name/nm0243109/,,,,,,,1
,Chris Buck,http://www.imdb.com/name/nm0118333/,,,,,,,1
,Chris Butler,http://www.imdb.com/name/nm2752098/,,,,,,,1
,Chris Carter,http://www.imdb.com/name/nm0004810/,,,,,,,1
,Chris Columbus,http://www.imdb.com/name/nm0001060/,,,,,,,1
,Chris Gorak,http://www.imdb.com/name/nm0329755/,,,,,,,1
,Chris Kentis,http://www.imdb.com/name/nm0448900/,,,,,,,1
,Chris Lofing,http://www.imdb.com/name/nm3951039/,,,,,,,1
,Chris Miller,http://www.imdb.com/name/nm3735491/,,,,,,,1
