,year,imdbcrewcastlink,imdbfilmtitle,imdbfilmlink,bomtitle,bomlink,descriptor1,descriptor2,descriptor3,NumOwnFilms(past five years),NumOfTwoCommonCategoriesOwnFilms(past five years),NumFeatureMovies(past five years),NumCommonFeatureMovies(past five years)
2095,2012,http://www.imdb.com/name/nm2283486/,Nitro Circus: The Movie,http://www.imdb.com/title/tt1815852/,Nitro Circus the Movie 3D,http://www.boxofficemojo.com/movies/?id=nitrocircus.htm,documentary,action,comedy,2,1,35774.0,0.0
2096,2012,http://www.imdb.com/name/nm2285549/,Nitro Circus: The Movie,http://www.imdb.com/title/tt1815852/,Nitro Circus the Movie 3D,http://www.boxofficemojo.com/movies/?id=nitrocircus.htm,documentary,action,comedy,4,1,35774.0,0.0
2097,2013,http://www.imdb.com/name/nm0796117/,After Earth,http://www.imdb.com/title/tt1815862/,After Earth,http://www.boxofficemojo.com/movies/?id=1000ae.htm,action,adventure,drama,2,2,38747.0,535.0
2098,2012,http://www.imdb.com/name/nm0161834/,The Place Beyond the Pines,http://www.imdb.com/title/tt1817273/,The Place Beyond the Pines,http://www.boxofficemojo.com/movies/?id=placebeyondthepines.htm,crime,drama,thriller,4,1,35774.0,845.0
2099,2012,http://www.imdb.com/name/nm0726638/,Girl in Progress,http://www.imdb.com/title/tt1817676/,Girl in Progress,http://www.boxofficemojo.com/movies/?id=girlinprogress.htm,comedy,drama,,3,2,35774.0,2741.0
2100,2013,http://www.imdb.com/name/nm0668247/,Nebraska,http://www.imdb.com/title/tt1821549/,Nebraska,http://www.boxofficemojo.com/movies/?id=nebraska.htm,adventure,comedy,drama,3,3,38747.0,318.0
2101,2014,http://www.imdb.com/name/nm0503259/,"Operation: Nussknacker - Auf die NÃ¼sse, fertig, los!",http://www.imdb.com/title/tt1821658/,The Nut Job,http://www.boxofficemojo.com/movies/?id=nutjob.htm,animation,adventure,comedy,3,1,41257.0,245.0
2102,2013,http://www.imdb.com/name/nm0661751/,RED 2,http://www.imdb.com/title/tt1821694/,Red 2,http://www.boxofficemojo.com/movies/?id=red2.htm,action,comedy,crime,6,2,38747.0,688.0
2103,2014,http://www.imdb.com/name/nm0323239/,Annie,http://www.imdb.com/title/tt1823664/,Annie (2014),http://www.boxofficemojo.com/movies/?id=annie2014.htm,comedy,drama,family,6,2,41257.0,3289.0
2104,2015,http://www.imdb.com/name/nm0088955/,Chappie,http://www.imdb.com/title/tt1823672/,Chappie,http://www.boxofficemojo.com/movies/?id=chappie.htm,action,crime,drama,2,2,43994.0,661.0
