year,bomtitle,imdblink,descriptor1,descriptor2,descriptor3
2004,Taxi,http://www.imdb.com/title/tt0316732/,action,comedy,crime
2004,Eternal Sunshine of the Spotless Mind,http://www.imdb.com/title/tt0338013/,drama,romance,sci-fi
2004,Alexander,http://www.imdb.com/title/tt0346491/,action,biography,drama
2004,Closer,http://www.imdb.com/title/tt0376541/,drama,romance,
2004,The Punisher,http://www.imdb.com/title/tt0330793/,action,crime,drama
2004,Team America: World Police,http://www.imdb.com/title/tt0372588/,action,comedy,
2004,Taking Lives,http://www.imdb.com/title/tt0364045/,crime,mystery,thriller
2004,Anacondas: The Hunt for the Blood Orchid,http://www.imdb.com/title/tt0366174/,action,adventure,horror
2004,Cellular,http://www.imdb.com/title/tt0337921/,action,crime,thriller
2004,Johnson Family Vacation,http://www.imdb.com/title/tt0359517/,comedy,,
2004,Open Water,http://www.imdb.com/title/tt0374102/,adventure,drama,horror
2004,Confessions of a Teenage Drama Queen,http://www.imdb.com/title/tt0361467/,comedy,family,music
2004,After the Sunset,http://www.imdb.com/title/tt0367479/,action,comedy,crime
2004,The Prince and Me,http://www.imdb.com/title/tt0337697/,comedy,family,romance
2004,Garden State,http://www.imdb.com/title/tt0333766/,comedy,drama,romance
2004,Jersey Girl,http://www.imdb.com/title/tt0300051/,comedy,drama,romance
2004,Twisted,http://www.imdb.com/title/tt0315297/,crime,drama,mystery
2004,The Life Aquatic with Steve Zissou,http://www.imdb.com/title/tt0362270/,action,adventure,comedy
2004,Around the World in 80 Days,http://www.imdb.com/title/tt0327437/,action,adventure,comedy
2004,Agent Cody Banks 2: Destination London,http://www.imdb.com/title/tt0358349/,action,adventure,comedy
2004,Hotel Rwanda,http://www.imdb.com/title/tt0395169/,biography,drama,history
2004,Ella Enchanted,http://www.imdb.com/title/tt0327679/,comedy,family,fantasy
2004,The Alamo (2004),http://www.imdb.com/title/tt0318974/,drama,history,war
2004,Darkness,http://www.imdb.com/title/tt0273517/,horror,,
2004,Mr. 3000,http://www.imdb.com/title/tt0339412/,comedy,drama,romance
2004,NASCAR 3D: The IMAX Experience (IMAX),http://www.imdb.com/title/tt0353774/,sport,,
2004,Torque,http://www.imdb.com/title/tt0329691/,action,comedy,crime
2004,Flight of the Phoenix,http://www.imdb.com/title/tt0377062/,action,adventure,drama
2004,Little Black Book,http://www.imdb.com/title/tt0361841/,comedy,romance,drama
2004,Yu-Gi-Oh! The Movie,http://www.imdb.com/title/tt0403703/,animation,action,adventure
2004,Two Brothers,http://www.imdb.com/title/tt0338512/,adventure,drama,family
2004,Harold and Kumar Go to White Castle,http://www.imdb.com/title/tt0366551/,adventure,comedy,
2004,Laws of Attraction,http://www.imdb.com/title/tt0323033/,comedy,romance,
2004,Eurotrip,http://www.imdb.com/title/tt0356150/,comedy,,
2004,My Baby's Daddy,http://www.imdb.com/title/tt0332712/,comedy,,
2004,Seed of Chucky,http://www.imdb.com/title/tt0387575/,comedy,fantasy,horror
2004,Win a Date with Tad Hamilton!,http://www.imdb.com/title/tt0335559/,comedy,romance,
2004,Wimbledon,http://www.imdb.com/title/tt0360201/,comedy,romance,sport
2004,The Motorcycle Diaries,http://www.imdb.com/title/tt0318462/,adventure,biography,drama
2004,Catch That Kid,http://www.imdb.com/title/tt0337917/,adventure,comedy,crime
2004,The Whole Ten Yards,http://www.imdb.com/title/tt0327247/,comedy,crime,thriller
2004,Vanity Fair,http://www.imdb.com/title/tt0241025/,drama,,
2004,Paparazzi,http://www.imdb.com/title/tt0338325/,action,crime,drama
2004,The Girl Next Door,http://www.imdb.com/title/tt0265208/,comedy,drama,romance
2004,Welcome to Mooseport,http://www.imdb.com/title/tt0361925/,comedy,romance,
2004,Godsend,http://www.imdb.com/title/tt0335121/,action,drama,fantasy
2004,Soul Plane,http://www.imdb.com/title/tt0367085/,comedy,,
2004,Dirty Dancing: Havana Nights,http://www.imdb.com/title/tt0338096/,drama,music,romance
2004,New York Minute,http://www.imdb.com/title/tt0363282/,comedy,crime,family
2004,Envy,http://www.imdb.com/title/tt0326856/,comedy,,
2004,Shaun of the Dead,http://www.imdb.com/title/tt0365748/,comedy,horror,
2004,De-Lovely,http://www.imdb.com/title/tt0352277/,biography,drama,music
2004,Alfie,http://www.imdb.com/title/tt0375173/,comedy,drama,romance
2004,Wicker Park,http://www.imdb.com/title/tt0324554/,drama,mystery,romance
2004,I Heart Huckabees,http://www.imdb.com/title/tt0356721/,comedy,,
2004,Breakin' All the Rules,http://www.imdb.com/title/tt0349169/,comedy,romance,
2004,Chasing Liberty,http://www.imdb.com/title/tt0360139/,comedy,romance,
2004,The Cookout,http://www.imdb.com/title/tt0380277/,comedy,,
2004,Surviving Christmas,http://www.imdb.com/title/tt0252028/,comedy,romance,
