,Name,IMDB_link,descriptor1,descriptor2,descriptor3
0,Spider-Man,https://www.imdb.com/title/tt0145487/,action,adventure,sci-fi
1,Star Wars: Episode II - Attack of the Clones,https://www.imdb.com/title/tt0121765/,action,adventure,fantasy
2,Harry Potter and the Chamber of Secrets,https://www.imdb.com/title/tt0295297/,adventure,family,fantasy
3,Signs,https://www.imdb.com/title/tt0286106/,drama,mystery,sci-fi
4,My Big Fat Greek Wedding,https://www.imdb.com/title/tt0259446/,comedy,drama,romance
5,The Lord of the Rings: The Two Towers,https://www.imdb.com/title/tt0167261/,adventure,drama,fantasy
6,Austin Powers in Goldmember,https://www.imdb.com/title/tt0295178/,action,adventure,comedy
7,Men in Black II,https://www.imdb.com/title/tt0120912/,action,adventure,comedy
8,Ice Age,https://www.imdb.com/title/tt0268380/,animation,adventure,comedy
9,A Beautiful Mind,https://www.imdb.com/title/tt0268978/,biography,drama,
10,Scooby-Doo,https://www.imdb.com/title/tt0267913/,adventure,comedy,family
11,The Lord of the Rings: The Fellowship of the Ring,https://www.imdb.com/title/tt0120737/,adventure,drama,fantasy
12,Die Another Day,https://www.imdb.com/title/tt0246460/,action,adventure,thriller
13,Lilo & Stitch,https://www.imdb.com/title/tt0275847/,animation,adventure,comedy
14,xXx,https://www.imdb.com/title/tt0295701/,action,adventure,thriller
15,The Santa Clause 2,https://www.imdb.com/title/tt0304669/,comedy,family,fantasy
16,Minority Report,https://www.imdb.com/title/tt0181689/,action,crime,mystery
17,The Ring,https://www.imdb.com/title/tt0298130/,horror,mystery,
18,Mr. Deeds,https://www.imdb.com/title/tt0280590/,comedy,romance,
19,Sweet Home Alabama,https://www.imdb.com/title/tt0256415/,comedy,romance,
20,The Bourne Identity,https://www.imdb.com/title/tt0258463/,action,mystery,thriller
21,The Sum of All Fears,https://www.imdb.com/title/tt0164184/,action,drama,thriller
22,8 Mile,https://www.imdb.com/title/tt0298203/,drama,music,
23,Black Hawk Down,https://www.imdb.com/title/tt0265086/,drama,history,war
24,Road to Perdition,https://www.imdb.com/title/tt0257044/,crime,drama,thriller
25,Panic Room,https://www.imdb.com/title/tt0258000/,crime,drama,thriller
26,Red Dragon,https://www.imdb.com/title/tt0289765/,crime,drama,thriller
27,The Scorpion King,https://www.imdb.com/title/tt0277296/,action,adventure,fantasy
28,Spy Kids 2: Island of Lost Dreams,https://www.imdb.com/title/tt0287717/,action,adventure,comedy
29,Blade II,https://www.imdb.com/title/tt0187738/,action,horror,sci-fi
30,Snow Dogs,https://www.imdb.com/title/tt0281373/,adventure,comedy,family
31,We Were Soldiers,https://www.imdb.com/title/tt0277434/,action,drama,history
