,Name,IMDB_link,descriptor1,descriptor2,descriptor3
0,Harry Potter and the Sorcerer's Stone,https://www.imdb.com/title/tt0241527/,adventure,family,fantasy
1,Shrek,https://www.imdb.com/title/tt0126029/,animation,adventure,comedy
2,"Monsters, Inc.",https://www.imdb.com/title/tt0198781/,animation,adventure,comedy
3,Rush Hour 2,https://www.imdb.com/title/tt0266915/,action,comedy,crime
4,The Mummy Returns,https://www.imdb.com/title/tt0209163/,action,adventure,fantasy
5,Pearl Harbor,https://www.imdb.com/title/tt0213149/,action,drama,history
6,Jurassic Park III,https://www.imdb.com/title/tt0163025/,action,adventure,sci-fi
7,Planet of the Apes,https://www.imdb.com/title/tt0063442/,adventure,sci-fi,
8,Hannibal,https://www.imdb.com/title/tt2243973/,crime,drama,horror
9,The Lord of the Rings: The Fellowship of the Ring,https://www.imdb.com/title/tt0120737/,adventure,drama,fantasy
10,American Pie 2,https://www.imdb.com/title/tt0252866/,comedy,,
11,The Fast and the Furious,https://www.imdb.com/title/tt0232500/,action,adventure,crime
12,Ocean's Eleven,https://www.imdb.com/title/tt0240772/,crime,thriller,
13,Lara Croft: Tomb Raider,https://www.imdb.com/title/tt0146316/,action,adventure,fantasy
14,Traffic,https://www.imdb.com/title/tt0181865/,crime,drama,thriller
15,Cast Away,https://www.imdb.com/title/tt0162222/,adventure,drama,romance
16,"Crouching Tiger, Hidden Dragon",https://www.imdb.com/title/tt0190332/,action,adventure,fantasy
17,Dr. Dolittle 2,https://www.imdb.com/title/tt0240462/,comedy,family,fantasy
18,Spy Kids,https://www.imdb.com/title/tt0227538/,action,adventure,comedy
19,The Princess Diaries,https://www.imdb.com/title/tt0247638/,comedy,family,romance
20,The Others,https://www.imdb.com/title/tt0230600/,horror,mystery,thriller
21,Legally Blonde,https://www.imdb.com/title/tt0250494/,comedy,romance,
22,America's Sweethearts,https://www.imdb.com/title/tt0265029/,comedy,romance,
23,Cats & Dogs,https://www.imdb.com/title/tt0239395/,action,comedy,family
24,Save the Last Dance,https://www.imdb.com/title/tt0206275/,drama,music,romance
25,Atlantis: The Lost Empire,https://www.imdb.com/title/tt0230011/,animation,action,adventure
26,A.I. Artificial Intelligence,https://www.imdb.com/title/tt0212720/,drama,sci-fi,
27,Training Day,https://www.imdb.com/title/tt0139654/,crime,drama,thriller
28,Along Came a Spider,https://www.imdb.com/title/tt0164334/,drama,thriller,
29,What Women Want,https://www.imdb.com/title/tt0207201/,comedy,fantasy,romance
30,Bridget Jones's Diary,https://www.imdb.com/title/tt0243155/,comedy,drama,romance
31,Scary Movie 2,https://www.imdb.com/title/tt0257106/,comedy,,
32,The Score,https://www.imdb.com/title/tt0227445/,crime,drama,thriller
33,Swordfish,https://www.imdb.com/title/tt0244244/,action,crime,thriller
34,Vanilla Sky,https://www.imdb.com/title/tt0259711/,fantasy,mystery,romance
35,Shallow Hal,https://www.imdb.com/title/tt0256380/,comedy,drama,fantasy
36,Chocolat,https://www.imdb.com/title/tt0241303/,drama,romance,
37,The Mexican,https://www.imdb.com/title/tt0236493/,adventure,comedy,crime
38,Miss Congeniality,https://www.imdb.com/title/tt0212346/,action,comedy,crime
39,Down to Earth,https://www.imdb.com/title/tt0231775/,comedy,fantasy,
40,Spy Game,https://www.imdb.com/title/tt0266987/,action,crime,thriller
41,The Wedding Planner,https://www.imdb.com/title/tt0209475/,comedy,romance,
42,The Animal,https://www.imdb.com/title/tt0255798/,comedy,sci-fi,
43,Moulin Rouge!,https://www.imdb.com/title/tt0203009/,drama,musical,romance
44,Rat Race,https://www.imdb.com/title/tt0250687/,adventure,comedy,
45,A Knight's Tale,https://www.imdb.com/title/tt0183790/,action,adventure,romance
46,Don't Say a Word,https://www.imdb.com/title/tt0260866/,drama,mystery,thriller
47,Blow,https://www.imdb.com/title/tt0221027/,biography,crime,drama
48,Exit Wounds,https://www.imdb.com/title/tt0242445/,action,crime,thriller
49,Enemy at the Gates,https://www.imdb.com/title/tt0215750/,drama,history,war
50,K-PAX,https://www.imdb.com/title/tt0272152/,drama,sci-fi,
51,Behind Enemy Lines,https://www.imdb.com/title/tt0159273/,action,drama,thriller
52,Serendipity,https://www.imdb.com/title/tt0240890/,comedy,romance,
53,Finding Forrester,https://www.imdb.com/title/tt0181536/,drama,,
54,Jimmy Neutron: Boy Genius,https://www.imdb.com/title/tt0268397/,animation,action,adventure
55,Zoolander,https://www.imdb.com/title/tt0196229/,comedy,,
56,Domestic Disturbance,https://www.imdb.com/title/tt0249478/,crime,mystery,thriller
57,"O Brother, Where Art Thou?",https://www.imdb.com/title/tt0190590/,adventure,comedy,crime
58,The One,https://www.imdb.com/title/tt0267804/,action,sci-fi,thriller
59,Thir13en Ghosts,https://www.imdb.com/title/tt0245674/,horror,thriller,
60,Bandits,https://www.imdb.com/title/tt0219965/,comedy,crime,drama
61,Heartbreakers,https://www.imdb.com/title/tt0125022/,comedy,crime,romance
62,Hardball,https://www.imdb.com/title/tt0180734/,drama,sport,
63,Evolution,https://www.imdb.com/title/tt0251075/,comedy,sci-fi,
64,Jeepers Creepers,https://www.imdb.com/title/tt0263488/,horror,mystery,
65,The Emperor's New Groove,https://www.imdb.com/title/tt0120917/,animation,adventure,comedy
66,Kiss of the Dragon,https://www.imdb.com/title/tt0271027/,action,crime,drama
67,Recess: School's Out,https://www.imdb.com/title/tt0265632/,animation,comedy,family
68,Ali,https://www.imdb.com/title/tt0248667/,biography,drama,sport
69,The Family Man,https://www.imdb.com/title/tt0218967/,comedy,drama,fantasy
70,Thirteen Days,https://www.imdb.com/title/tt0146309/,drama,history,thriller
71,See Spot Run,https://www.imdb.com/title/tt0250720/,action,comedy,crime
72,Driven,https://www.imdb.com/title/tt5592796/,biography,drama,thriller
73,What's the Worst That Could Happen?,https://www.imdb.com/title/tt0161083/,comedy,crime,
74,Final Fantasy: The Spirits Within,https://www.imdb.com/title/tt0173840/,animation,action,adventure
75,Black Knight,https://www.imdb.com/title/tt0265087/,adventure,comedy,fantasy
76,From Hell,https://www.imdb.com/title/tt0120681/,horror,mystery,thriller
77,Not Another Teen Movie,https://www.imdb.com/title/tt0277371/,comedy,,
78,Snatch,https://www.imdb.com/title/tt0208092/,comedy,crime,
79,Riding in Cars with Boys,https://www.imdb.com/title/tt0200027/,biography,comedy,drama
80,Jay and Silent Bob Strike Back,https://www.imdb.com/title/tt0261392/,comedy,,
81,Double Take,https://www.imdb.com/title/tt0238948/,action,comedy,crime
82,Baby Boy,https://www.imdb.com/title/tt0255819/,crime,drama,romance
83,The Brothers,https://www.imdb.com/title/tt0250274/,comedy,drama,
84,Someone Like You,https://www.imdb.com/title/tt0244970/,comedy,romance,
85,Joe Dirt,https://www.imdb.com/title/tt0245686/,adventure,comedy,drama
86,The Musketeer,https://www.imdb.com/title/tt0246544/,action,adventure,romance
87,Crocodile Dundee in Los Angeles,https://www.imdb.com/title/tt0231402/,action,adventure,comedy
88,Memento,https://www.imdb.com/title/tt0209144/,mystery,thriller,
89,Captain Corelli's Mandolin,https://www.imdb.com/title/tt0238112/,drama,music,romance
90,Sweet November,https://www.imdb.com/title/tt0230838/,drama,romance,
91,15 Minutes,https://www.imdb.com/title/tt0179626/,action,crime,drama
92,Hearts in Atlantis,https://www.imdb.com/title/tt0252501/,drama,mystery,
