,Name,IMDB_link,descriptor1,descriptor2,descriptor3
82,The Legend of Bagger Vance,https://www.imdb.com/title/tt0146984/,drama,fantasy,sport
83,The Art of War,https://www.imdb.com/title/tt0160009/,action,adventure,crime
84,Bless the Child,https://www.imdb.com/title/tt0163983/,crime,drama,horror
85,The Watcher,https://www.imdb.com/title/tt0204626/,crime,drama,mystery
86,"Girl, Interrupted",https://www.imdb.com/title/tt0172493/,biography,drama,
87,Love & Basketball,https://www.imdb.com/title/tt0199725/,drama,romance,sport
88,High Fidelity,https://www.imdb.com/title/tt0146882/,comedy,drama,music
89,Book of Shadows: Blair Witch 2,https://www.imdb.com/title/tt0229260/,adventure,fantasy,horror
90,Proof of Life,https://www.imdb.com/title/tt0228750/,action,drama,thriller
91,The Adventures of Rocky & Bullwinkle,https://www.imdb.com/title/tt0131704/,animation,adventure,comedy
92,Nurse Betty,https://www.imdb.com/title/tt0171580/,comedy,crime,drama
93,Bicentennial Man,https://www.imdb.com/title/tt0182789/,comedy,drama,sci-fi
94,Deuce Bigalow: Male Gigolo,https://www.imdb.com/title/tt0205000/,comedy,romance,
95,Reindeer Games,https://www.imdb.com/title/tt0184858/,action,adventure,crime
96,Titan A.E.,https://www.imdb.com/title/tt0120913/,animation,action,adventure
97,Boys and Girls,https://www.imdb.com/title/tt0204175/,comedy,drama,romance
98,Magnolia,https://www.imdb.com/title/tt0175880/,drama,,
99,Battlefield Earth,https://www.imdb.com/title/tt0185183/,action,adventure,sci-fi
100,Urban Legends: Final Cut,https://www.imdb.com/title/tt0192731/,horror,mystery,thriller
101,Down to You,https://www.imdb.com/title/tt0186975/,comedy,drama,romance
102,Wonder Boys,https://www.imdb.com/title/tt0185014/,comedy,drama,
103,Anna and the King,https://www.imdb.com/title/tt0166485/,drama,history,romance
104,The Ninth Gate,https://www.imdb.com/title/tt0142688/,mystery,thriller,
105,Dracula 2000,https://www.imdb.com/title/tt0219653/,action,fantasy,horror
106,The Contender,https://www.imdb.com/title/tt0208874/,drama,thriller,
107,The Sixth Sense,https://www.imdb.com/title/tt0167404/,drama,mystery,thriller
108,Small Time Crooks,https://www.imdb.com/title/tt0196216/,comedy,crime,
109,Red Planet,https://www.imdb.com/title/tt0199753/,action,sci-fi,thriller
110,Center Stage,https://www.imdb.com/title/tt0210616/,drama,music,romance
111,Best in Show,https://www.imdb.com/title/tt0218839/,comedy,,
112,Boiler Room,https://www.imdb.com/title/tt0181984/,crime,drama,thriller
113,Billy Elliot,https://www.imdb.com/title/tt0249462/,drama,music,
114,Lost Souls,https://www.imdb.com/title/tt0160484/,drama,horror,thriller
115,Eye of the Beholder,https://www.imdb.com/title/tt0120662/,drama,mystery,thriller
116,Thomas and the Magic Railroad,https://www.imdb.com/title/tt0205461/,adventure,comedy,drama
117,Loser,https://www.imdb.com/title/tt0217630/,comedy,romance,
118,Drowning Mona,https://www.imdb.com/title/tt0186045/,comedy,crime,mystery
119,Bait,https://www.imdb.com/title/tt9652782/,drama,,
120,American Psycho,https://www.imdb.com/title/tt0144084/,comedy,crime,drama
121,Get Carter,https://www.imdb.com/title/tt0067128/,action,crime,thriller
122,The Next Best Thing,https://www.imdb.com/title/tt0156841/,comedy,drama,romance
123,Man on the Moon,https://www.imdb.com/title/tt0125664/,biography,comedy,drama
124,Snow Falling on Cedars,https://www.imdb.com/title/tt0120834/,drama,mystery,romance
125,Michael Jordan to the Max,https://www.imdb.com/title/tt0245280/,documentary,sport,
126,Supernova,https://www.imdb.com/title/tt0134983/,horror,sci-fi,thriller
127,Dungeons & Dragons,https://www.imdb.com/title/tt0190374/,action,adventure,fantasy
128,The Ladies Man,https://www.imdb.com/title/tt0213790/,comedy,,
129,The Little Vampire,https://www.imdb.com/title/tt0192255/,adventure,comedy,family
130,Dr. T & the Women,https://www.imdb.com/title/tt0205271/,comedy,drama,romance
131,The Crew,https://www.imdb.com/title/tt4428728/,crime,drama,thriller
132,Everest,https://www.imdb.com/title/tt2719848/,action,adventure,biography
133,Angela's Ashes,https://www.imdb.com/title/tt0145653/,drama,,
134,Highlander: Endgame,https://www.imdb.com/title/tt0144964/,action,adventure,fantasy
135,Ready to Rumble,https://www.imdb.com/title/tt0217756/,comedy,sport,
136,"Crouching Tiger, Hidden Dragon",https://www.imdb.com/title/tt0190332/,action,adventure,fantasy
137,Saving Grace,https://www.imdb.com/title/tt0195234/,comedy,crime,
138,The Legend of Drunken Master,https://www.imdb.com/title/tt0111512/,action,comedy,
139,The World is Not Enough,https://www.imdb.com/title/tt0143145/,action,adventure,thriller
140,Here on Earth,https://www.imdb.com/title/tt0195778/,drama,romance,
141,Lucky Numbers,https://www.imdb.com/title/tt0219952/,comedy,crime,
142,Godzilla 2000,https://www.imdb.com/title/tt0188640/,action,adventure,drama
143,3 Strikes,https://www.imdb.com/title/tt0199290/,comedy,,
144,Digimon: The Movie,https://www.imdb.com/title/tt0259974/,animation,action,adventure
145,The End of the Affair,https://www.imdb.com/title/tt0172396/,drama,romance,
146,Sleepy Hollow,https://www.imdb.com/title/tt2647544/,action,adventure,crime
147,Boys Don't Cry,https://www.imdb.com/title/tt0171804/,biography,crime,drama
148,Whatever It Takes,https://www.imdb.com/title/tt0202402/,comedy,drama,romance
149,Cirque du Soleil: Journey of Man,https://www.imdb.com/title/tt0213749/,short,drama,family
150,Play It to the Bone,https://www.imdb.com/title/tt0196857/,comedy,drama,sport
151,T-Rex: Back to the Cretaceous,https://www.imdb.com/title/tt0163862/,adventure,family,fantasy
152,Galapagos,https://www.imdb.com/title/tt0996614/,documentary,,
153,Screwed,https://www.imdb.com/title/tt0156323/,comedy,crime,
154,All the Pretty Horses,https://www.imdb.com/title/tt0149624/,drama,romance,western
155,I Dreamed of Africa,https://www.imdb.com/title/tt0167203/,adventure,biography,drama
156,All About My Mother,https://www.imdb.com/title/tt0185125/,drama,,
157,Sunshine,https://www.imdb.com/title/tt0448134/,sci-fi,thriller,
