bomtitle,bomlink,year,login_link,imdb_idList,imdb_genre_textList,Genre_0,Genre_1,Genre_2,Genre_3,Genre_4,Genre_5,Genre_6,Genre_7
Unbreakable,https://www.boxofficemojo.com/release/rl3195438593/?ref_=bo_yld_table_23,2000,https://pro.imdb.com/title/tt0217869?ref_=mojo_rl_summary&rf=mojo_rl_summary,tt0217869,"['Drama', 'Mystery', 'Sci-Fi']",Drama,Mystery,Sci-Fi,,,,,
U-571,https://www.boxofficemojo.com/release/rl1249281537/?ref_=bo_yld_table_24,2000,https://pro.imdb.com/title/tt0141926?ref_=mojo_rl_summary&rf=mojo_rl_summary,tt0141926,"['Action', 'War']",Action,War,,,,,,
Hollow Man,https://www.boxofficemojo.com/release/rl4065953281/?ref_=bo_yld_table_25,2000,https://pro.imdb.com/title/tt0164052?ref_=mojo_rl_summary&rf=mojo_rl_summary,tt0164052,"['Action', 'Horror', 'Sci-Fi', 'Thriller']",Action,Horror,Sci-Fi,Thriller,,,,
Stuart Little,https://www.boxofficemojo.com/release/rl1433568769/?ref_=bo_yld_table_26,2000,https://pro.imdb.com/title/tt0164912?ref_=mojo_rl_summary&rf=mojo_rl_summary,tt0164912,"['Adventure', 'Comedy', 'Family']",Adventure,Comedy,Family,,,,,
Shaft,https://www.boxofficemojo.com/release/rl2322499073/?ref_=bo_yld_table_27,2000,https://pro.imdb.com/title/tt0162650?ref_=mojo_rl_summary&rf=mojo_rl_summary,tt0162650,"['Action', 'Crime', 'Thriller']",Action,Crime,Thriller,,,,,
The Green Mile,https://www.boxofficemojo.com/release/rl1297581569/?ref_=bo_yld_table_28,2000,https://pro.imdb.com/title/tt0120689?ref_=mojo_rl_summary&rf=mojo_rl_summary,tt0120689,"['Crime', 'Drama', 'Fantasy']",Crime,Drama,Fantasy,,,,,
The Kid,https://www.boxofficemojo.com/release/rl4216292865/?ref_=bo_yld_table_29,2000,https://pro.imdb.com/title/tt0219854?ref_=mojo_rl_summary&rf=mojo_rl_summary,tt0219854,"['Comedy', 'Family', 'Fantasy']",Comedy,Family,Fantasy,,,,,
Rugrats in Paris: The Movie,https://www.boxofficemojo.com/release/rl3580659201/?ref_=bo_yld_table_30,2000,https://pro.imdb.com/title/tt0213203?ref_=mojo_rl_summary&rf=mojo_rl_summary,tt0213203,"['Adventure', 'Animation', 'Comedy', 'Family', 'Romance']",Adventure,Animation,Comedy,Family,Romance,,,
Road Trip,https://www.boxofficemojo.com/release/rl1684833793/?ref_=bo_yld_table_31,2000,https://pro.imdb.com/title/tt0215129?ref_=mojo_rl_summary&rf=mojo_rl_summary,tt0215129,['Comedy'],Comedy,,,,,,,
Bring It On,https://www.boxofficemojo.com/release/rl2085193217/?ref_=bo_yld_table_32,2000,https://pro.imdb.com/title/tt0204946?ref_=mojo_rl_summary&rf=mojo_rl_summary,tt0204946,"['Comedy', 'Romance', 'Sport']",Comedy,Romance,Sport,,,,,
Rules of Engagement,https://www.boxofficemojo.com/release/rl3412887041/?ref_=bo_yld_table_33,2000,https://pro.imdb.com/title/tt0160797?ref_=mojo_rl_summary&rf=mojo_rl_summary,tt0160797,"['Drama', 'Thriller', 'War']",Drama,Thriller,War,,,,,
The Cell,https://www.boxofficemojo.com/release/rl3964175873/?ref_=bo_yld_table_34,2000,https://pro.imdb.com/title/tt0209958?ref_=mojo_rl_summary&rf=mojo_rl_summary,tt0209958,"['Horror', 'Sci-Fi', 'Thriller']",Horror,Sci-Fi,Thriller,,,,,
Mission to Mars,https://www.boxofficemojo.com/release/rl3596781057/?ref_=bo_yld_table_35,2000,https://pro.imdb.com/title/tt0183523?ref_=mojo_rl_summary&rf=mojo_rl_summary,tt0183523,"['Adventure', 'Sci-Fi', 'Thriller']",Adventure,Sci-Fi,Thriller,,,,,
