,bomfilmtitle,filmimdb,year,notsample,filmrank,castrank,filmrole,actorname,actorimdb,birthyear,gender,race,bomlink,starpower-actor,name_id,bomtitle,releasedate,prior10weeksDate
22,A Very Long Engagement,http://www.imdb.com/title/tt0344510/,2004,1,8,3,Cast,Dominique Pinon,http://www.imdb.com/name/nm0684500/,,,,http://www.boxofficemojo.com/movies/?id=verylongengagement.htm,2110,nm0684500,A Very Long Engagement,11/26/2004,9/17/2004
23,A Very Long Engagement,http://www.imdb.com/title/tt0344510/,2004,1,9,4,Cast,Chantal Neuwirth,http://www.imdb.com/name/nm0627262/,,,,http://www.boxofficemojo.com/movies/?id=verylongengagement.htm,33865,nm0627262,A Very Long Engagement,11/26/2004,9/17/2004
24,A Very Long Engagement,http://www.imdb.com/title/tt0344510/,2004,1,10,5,Cast,André Dussollier,http://www.imdb.com/name/nm0244707/,,,,http://www.boxofficemojo.com/movies/?id=verylongengagement.htm,17042,nm0244707,A Very Long Engagement,11/26/2004,9/17/2004
25,After the Sunset,http://www.imdb.com/title/tt0367479/,2004,0,5,1,Cast,Pierce Brosnan,http://www.imdb.com/name/nm0000112/,1953,m,white,http://www.boxofficemojo.com/movies/?id=afterthesunset.htm,183,nm0000112,After the Sunset,11/12/2004,9/3/2004
26,After the Sunset,http://www.imdb.com/title/tt0367479/,2004,0,6,2,Cast,Salma Hayek,http://www.imdb.com/name/nm0000161/,1966,f,hispanic,http://www.boxofficemojo.com/movies/?id=afterthesunset.htm,56,nm0000161,After the Sunset,11/12/2004,9/3/2004
27,After the Sunset,http://www.imdb.com/title/tt0367479/,2004,0,7,3,Cast,Woody Harrelson,http://www.imdb.com/name/nm0000437/,1961,m,white,http://www.boxofficemojo.com/movies/?id=afterthesunset.htm,842,nm0000437,After the Sunset,11/12/2004,9/3/2004
28,After the Sunset,http://www.imdb.com/title/tt0367479/,2004,0,8,4,Cast,Don Cheadle,http://www.imdb.com/name/nm0000332/,1964,m,black,http://www.boxofficemojo.com/movies/?id=afterthesunset.htm,1087,nm0000332,After the Sunset,11/12/2004,9/3/2004
29,After the Sunset,http://www.imdb.com/title/tt0367479/,2004,0,9,5,Cast,Naomie Harris,http://www.imdb.com/name/nm0365140/,1976,f,black,http://www.boxofficemojo.com/movies/?id=afterthesunset.htm,2561,nm0365140,After the Sunset,11/12/2004,9/3/2004
30,Against the Ropes,http://www.imdb.com/title/tt0312329/,2004,0,4,1,Cast,Meg Ryan,http://www.imdb.com/name/nm0000212/,1961,f,white,http://www.boxofficemojo.com/movies/?id=againsttheropes.htm,129,nm0000212,Against the Ropes,2/20/2004,12/12/2003
31,Against the Ropes,http://www.imdb.com/title/tt0312329/,2004,0,5,2,Cast,Omar Epps,http://www.imdb.com/name/nm0004898/,1973,m,black,http://www.boxofficemojo.com/movies/?id=againsttheropes.htm,1634,nm0004898,Against the Ropes,2/20/2004,12/12/2003
32,Against the Ropes,http://www.imdb.com/title/tt0312329/,2004,0,6,3,Cast,Charles S. Dutton,http://www.imdb.com/name/nm0001165/,1951,m,black,http://www.boxofficemojo.com/movies/?id=againsttheropes.htm,1758,nm0001165,Against the Ropes,2/20/2004,12/12/2003
33,Against the Ropes,http://www.imdb.com/title/tt0312329/,2004,0,7,4,Cast,Tony Shalhoub,http://www.imdb.com/name/nm0001724/,1953,m,white,http://www.boxofficemojo.com/movies/?id=againsttheropes.htm,1614,nm0001724,Against the Ropes,2/20/2004,12/12/2003
34,Against the Ropes,http://www.imdb.com/title/tt0312329/,2004,0,8,5,Cast,Tim Daly,http://www.imdb.com/name/nm0004857/,1956,m,white,http://www.boxofficemojo.com/movies/?id=againsttheropes.htm,2016,nm0004857,Against the Ropes,2/20/2004,12/12/2003
35,Agent Cody Banks 2: Destination London,http://www.imdb.com/title/tt0358349/,2004,0,7,1,Cast,Frankie Muniz,http://www.imdb.com/name/nm0005260/,1985,m,white,http://www.boxofficemojo.com/movies/?id=agentcodybanks2.htm,232,nm0005260,Agent Cody Banks 2: Destination London,3/12/2004,1/2/2004
36,Agent Cody Banks 2: Destination London,http://www.imdb.com/title/tt0358349/,2004,0,8,2,Cast,Anthony Anderson,http://www.imdb.com/name/nm0026364/,1970,m,black,http://www.boxofficemojo.com/movies/?id=agentcodybanks2.htm,1052,nm0026364,Agent Cody Banks 2: Destination London,3/12/2004,1/2/2004
37,Agent Cody Banks 2: Destination London,http://www.imdb.com/title/tt0358349/,2004,0,9,3,Cast,Hannah Spearritt,http://www.imdb.com/name/nm0817339/,1981,f,white,http://www.boxofficemojo.com/movies/?id=agentcodybanks2.htm,1153,nm0817339,Agent Cody Banks 2: Destination London,3/12/2004,1/2/2004
38,Agent Cody Banks 2: Destination London,http://www.imdb.com/title/tt0358349/,2004,0,10,4,Cast,Cynthia Stevenson,http://www.imdb.com/name/nm0828906/,1962,f,white,http://www.boxofficemojo.com/movies/?id=agentcodybanks2.htm,3432,nm0828906,Agent Cody Banks 2: Destination London,3/12/2004,1/2/2004
