,bomfilmtitle,filmimdb,year,notsample,filmrank,castrank,filmrole,actorname,actorimdb,birthyear,gender,race,bomlink,starpower-actor,name_id,bomtitle,releasedate,prior10weeksDate
3354,In the Valley of Elah,http://www.imdb.com/title/tt0478134/,2007,0,7,3,Cast,Jason Patric,http://www.imdb.com/name/nm0000574/,1966,m,white,http://www.boxofficemojo.com/movies/?id=inthevalleyofelah.htm,1445,nm0000574,In the Valley of Elah,9/14/2007,7/6/2007
3355,In the Valley of Elah,http://www.imdb.com/title/tt0478134/,2007,0,8,4,Cast,Susan Sarandon,http://www.imdb.com/name/nm0000215/,1946,f,white,http://www.boxofficemojo.com/movies/?id=inthevalleyofelah.htm,654,nm0000215,In the Valley of Elah,9/14/2007,7/6/2007
3356,In the Valley of Elah,http://www.imdb.com/title/tt0478134/,2007,0,9,5,Cast,James Franco,http://www.imdb.com/name/nm0290556/,1978,m,white,http://www.boxofficemojo.com/movies/?id=inthevalleyofelah.htm,191,nm0290556,In the Valley of Elah,9/14/2007,7/6/2007
3357,Into the Wild,http://www.imdb.com/title/tt0758758/,2007,0,4,1,Cast,Emile Hirsch,http://www.imdb.com/name/nm0386472/,1985,m,white,http://www.boxofficemojo.com/movies/?id=intothewild.htm,179,nm0386472,Into the Wild,9/21/2007,7/13/2007
3358,Into the Wild,http://www.imdb.com/title/tt0758758/,2007,0,5,2,Cast,Marcia Gay Harden,http://www.imdb.com/name/nm0001315/,1959,f,white,http://www.boxofficemojo.com/movies/?id=intothewild.htm,1341,nm0001315,Into the Wild,9/21/2007,7/13/2007
3359,Into the Wild,http://www.imdb.com/title/tt0758758/,2007,0,6,3,Cast,William Hurt,http://www.imdb.com/name/nm0000458/,1950,m,white,http://www.boxofficemojo.com/movies/?id=intothewild.htm,1021,nm0000458,Into the Wild,9/21/2007,7/13/2007
3360,Into the Wild,http://www.imdb.com/title/tt0758758/,2007,0,7,4,Cast,Jena Malone,http://www.imdb.com/name/nm0540441/,1984,f,white,http://www.boxofficemojo.com/movies/?id=intothewild.htm,839,nm0540441,Into the Wild,9/21/2007,7/13/2007
3361,Into the Wild,http://www.imdb.com/title/tt0758758/,2007,0,9,5,Cast,Catherine Keener,http://www.imdb.com/name/nm0001416/,1959,f,white,http://www.boxofficemojo.com/movies/?id=intothewild.htm,671,nm0001416,Into the Wild,9/21/2007,7/13/2007
3362,Juno,http://www.imdb.com/title/tt0467406/,2007,0,3,1,Cast,Ellen Page,http://www.imdb.com/name/nm0680983/,1987,f,white,http://www.boxofficemojo.com/movies/?id=juno.htm,209,nm0680983,Juno,12/5/2007,9/26/2007
3363,Juno,http://www.imdb.com/title/tt0467406/,2007,0,4,2,Cast,Michael Cera,http://www.imdb.com/name/nm0148418/,1988,m,white,http://www.boxofficemojo.com/movies/?id=juno.htm,50,nm0148418,Juno,12/5/2007,9/26/2007
3364,Juno,http://www.imdb.com/title/tt0467406/,2007,0,5,3,Cast,Jennifer Garner,http://www.imdb.com/name/nm0004950/,1972,f,white,http://www.boxofficemojo.com/movies/?id=juno.htm,141,nm0004950,Juno,12/5/2007,9/26/2007
3365,Juno,http://www.imdb.com/title/tt0467406/,2007,0,6,4,Cast,Jason Bateman,http://www.imdb.com/name/nm0000867/,1969,m,white,http://www.boxofficemojo.com/movies/?id=juno.htm,345,nm0000867,Juno,12/5/2007,9/26/2007
3366,Juno,http://www.imdb.com/title/tt0467406/,2007,0,7,5,Cast,Allison Janney,http://www.imdb.com/name/nm0005049/,1959,f,white,http://www.boxofficemojo.com/movies/?id=juno.htm,1097,nm0005049,Juno,12/5/2007,9/26/2007
3367,Kickin' It Old Skool,http://www.imdb.com/title/tt0772178/,2007,0,5,1,Cast,Jamie Kennedy,http://www.imdb.com/name/nm0005085/,1970,m,white,http://www.boxofficemojo.com/movies/?id=kickinitoldschool.htm,1924,nm0005085,Kickin' It Old Skool,4/27/2007,2/16/2007
3368,Kickin' It Old Skool,http://www.imdb.com/title/tt0772178/,2007,0,6,2,Cast,Maria Menounos,http://www.imdb.com/name/nm1172764/,1978,f,white,http://www.boxofficemojo.com/movies/?id=kickinitoldschool.htm,1869,nm1172764,Kickin' It Old Skool,4/27/2007,2/16/2007
3369,Kickin' It Old Skool,http://www.imdb.com/title/tt0772178/,2007,0,7,3,Cast,Miguel A. Núñez Jr.,http://www.imdb.com/name/nm0639200/,1964,m,black,http://www.boxofficemojo.com/movies/?id=kickinitoldschool.htm,3068,nm0639200,Kickin' It Old Skool,4/27/2007,2/16/2007
3370,Kickin' It Old Skool,http://www.imdb.com/title/tt0772178/,2007,0,8,4,Cast,Michael Rosenbaum,http://www.imdb.com/name/nm0742146/,1972,m,white,http://www.boxofficemojo.com/movies/?id=kickinitoldschool.htm,538,nm0742146,Kickin' It Old Skool,4/27/2007,2/16/2007
3371,Kickin' It Old Skool,http://www.imdb.com/title/tt0772178/,2007,0,9,5,Cast,Christopher McDonald,http://www.imdb.com/name/nm0001520/,1955,m,white,http://www.boxofficemojo.com/movies/?id=kickinitoldschool.htm,1342,nm0001520,Kickin' It Old Skool,4/27/2007,2/16/2007
3372,Knocked Up,http://www.imdb.com/title/tt0478311/,2007,0,3,1,Cast,Seth Rogen,http://www.imdb.com/name/nm0736622/,1982,m,white,http://www.boxofficemojo.com/movies/?id=knockedup.htm,1153,nm0736622,Knocked Up,6/1/2007,3/23/2007
3373,Knocked Up,http://www.imdb.com/title/tt0478311/,2007,0,4,2,Cast,Katherine Heigl,http://www.imdb.com/name/nm0001337/,1978,f,white,http://www.boxofficemojo.com/movies/?id=knockedup.htm,59,nm0001337,Knocked Up,6/1/2007,3/23/2007
3374,Knocked Up,http://www.imdb.com/title/tt0478311/,2007,0,5,3,Cast,Paul Rudd,http://www.imdb.com/name/nm0748620/,1969,m,white,http://www.boxofficemojo.com/movies/?id=knockedup.htm,441,nm0748620,Knocked Up,6/1/2007,3/23/2007
3375,Knocked Up,http://www.imdb.com/title/tt0478311/,2007,0,6,4,Cast,Leslie Mann,http://www.imdb.com/name/nm0005182/,1972,f,white,http://www.boxofficemojo.com/movies/?id=knockedup.htm,1541,nm0005182,Knocked Up,6/1/2007,3/23/2007
3376,Knocked Up,http://www.imdb.com/title/tt0478311/,2007,0,7,5,Cast,Jason Segel,http://www.imdb.com/name/nm0781981/,1980,m,white,http://www.boxofficemojo.com/movies/?id=knockedup.htm,1908,nm0781981,Knocked Up,6/1/2007,3/23/2007
3377,La Vie en Rose,http://www.imdb.com/title/tt0450188/,2007,1,4,1,Cast,Marion Cotillard,http://www.imdb.com/name/nm0182839/,1975,f,white,http://www.boxofficemojo.com/movies/?id=lavieenrose.htm,1333,nm0182839,La Vie en Rose,6/8/2007,3/30/2007
3378,La Vie en Rose,http://www.imdb.com/title/tt0450188/,2007,1,5,2,Cast,Sylvie Testud,http://www.imdb.com/name/nm0856500/,,,,http://www.boxofficemojo.com/movies/?id=lavieenrose.htm,12973,nm0856500,La Vie en Rose,6/8/2007,3/30/2007
3379,La Vie en Rose,http://www.imdb.com/title/tt0450188/,2007,1,6,3,Cast,Pascal Greggory,http://www.imdb.com/name/nm0339621/,,,,http://www.boxofficemojo.com/movies/?id=lavieenrose.htm,18175,nm0339621,La Vie en Rose,6/8/2007,3/30/2007
3380,La Vie en Rose,http://www.imdb.com/title/tt0450188/,2007,1,7,4,Cast,Emmanuelle Seigner,http://www.imdb.com/name/nm0782561/,,,,http://www.boxofficemojo.com/movies/?id=lavieenrose.htm,3511,nm0782561,La Vie en Rose,6/8/2007,3/30/2007
3381,La Vie en Rose,http://www.imdb.com/title/tt0450188/,2007,1,8,5,Cast,Jean-Paul Rouve,http://www.imdb.com/name/nm0746162/,,,,http://www.boxofficemojo.com/movies/?id=lavieenrose.htm,26550,nm0746162,La Vie en Rose,6/8/2007,3/30/2007
3382,Ladron Que Roba A Ladron,http://www.imdb.com/title/tt0859760/,2007,1,3,1,Cast,Fernando Colunga,http://www.imdb.com/name/nm0173393/,1966,m,hispanic,http://www.boxofficemojo.com/movies/?id=ladronquerobaaladron.htm,13255,nm0173393,Ladron Que Roba A Ladron,8/31/2007,6/22/2007
3383,Ladron Que Roba A Ladron,http://www.imdb.com/title/tt0859760/,2007,1,4,2,Cast,Miguel Varoni,http://www.imdb.com/name/nm0890173/,1964,m,hispanic,http://www.boxofficemojo.com/movies/?id=ladronquerobaaladron.htm,24083,nm0890173,Ladron Que Roba A Ladron,8/31/2007,6/22/2007
3384,Ladron Que Roba A Ladron,http://www.imdb.com/title/tt0859760/,2007,1,5,3,Cast,Saúl Lisazo,http://www.imdb.com/name/nm0513970/,,,,http://www.boxofficemojo.com/movies/?id=ladronquerobaaladron.htm,33855,nm0513970,Ladron Que Roba A Ladron,8/31/2007,6/22/2007
3385,Ladron Que Roba A Ladron,http://www.imdb.com/title/tt0859760/,2007,1,6,4,Cast,Ivonne Montero,http://www.imdb.com/name/nm0599434/,,,,http://www.boxofficemojo.com/movies/?id=ladronquerobaaladron.htm,27627,nm0599434,Ladron Que Roba A Ladron,8/31/2007,6/22/2007
3386,Ladron Que Roba A Ladron,http://www.imdb.com/title/tt0859760/,2007,1,7,5,Cast,Oscar Torre,http://www.imdb.com/name/nm0868782/,,,,http://www.boxofficemojo.com/movies/?id=ladronquerobaaladron.htm,33746,nm0868782,Ladron Que Roba A Ladron,8/31/2007,6/22/2007
3387,Lars and the Real Girl,http://www.imdb.com/title/tt0805564/,2007,0,3,1,Cast,Ryan Gosling,http://www.imdb.com/name/nm0331516/,1980,m,white,http://www.boxofficemojo.com/movies/?id=larsandtherealgirl.htm,111,nm0331516,Lars and the Real Girl,10/12/2007,8/3/2007
3388,Lars and the Real Girl,http://www.imdb.com/title/tt0805564/,2007,0,4,2,Cast,Emily Mortimer,http://www.imdb.com/name/nm0607865/,1971,f,white,http://www.boxofficemojo.com/movies/?id=larsandtherealgirl.htm,600,nm0607865,Lars and the Real Girl,10/12/2007,8/3/2007
3389,Lars and the Real Girl,http://www.imdb.com/title/tt0805564/,2007,0,5,3,Cast,Paul Schneider,http://www.imdb.com/name/nm0773973/,1976,m,white,http://www.boxofficemojo.com/movies/?id=larsandtherealgirl.htm,4356,nm0773973,Lars and the Real Girl,10/12/2007,8/3/2007
3390,Lars and the Real Girl,http://www.imdb.com/title/tt0805564/,2007,0,7,4,Cast,Kelli Garner,http://www.imdb.com/name/nm0307726/,1984,f,white,http://www.boxofficemojo.com/movies/?id=larsandtherealgirl.htm,1655,nm0307726,Lars and the Real Girl,10/12/2007,8/3/2007
3391,Lars and the Real Girl,http://www.imdb.com/title/tt0805564/,2007,0,13,5,Cast,Patricia Clarkson,http://www.imdb.com/name/nm0165101/,1959,f,white,http://www.boxofficemojo.com/movies/?id=larsandtherealgirl.htm,1214,nm0165101,Lars and the Real Girl,10/12/2007,8/3/2007
3392,License to Wed,http://www.imdb.com/title/tt0762114/,2007,0,7,1,Cast,Robin Williams,http://www.imdb.com/name/nm0000245/,1951,m,white,http://www.boxofficemojo.com/movies/?id=licensetowed.htm,155,nm0000245,License to Wed,7/3/2007,4/24/2007
3393,License to Wed,http://www.imdb.com/title/tt0762114/,2007,0,8,2,Cast,Mandy Moore,http://www.imdb.com/name/nm0601553/,1984,f,white,http://www.boxofficemojo.com/movies/?id=licensetowed.htm,112,nm0601553,License to Wed,7/3/2007,4/24/2007
3394,License to Wed,http://www.imdb.com/title/tt0762114/,2007,0,9,3,Cast,John Krasinski,http://www.imdb.com/name/nm1024677/,1979,m,white,http://www.boxofficemojo.com/movies/?id=licensetowed.htm,259,nm1024677,License to Wed,7/3/2007,4/24/2007
3395,License to Wed,http://www.imdb.com/title/tt0762114/,2007,0,10,4,Cast,Eric Christian Olsen,http://www.imdb.com/name/nm0647638/,1977,m,white,http://www.boxofficemojo.com/movies/?id=licensetowed.htm,1406,nm0647638,License to Wed,7/3/2007,4/24/2007
3396,License to Wed,http://www.imdb.com/title/tt0762114/,2007,0,11,5,Cast,Christine Taylor,http://www.imdb.com/name/nm0852132/,1971,f,white,http://www.boxofficemojo.com/movies/?id=licensetowed.htm,524,nm0852132,License to Wed,7/3/2007,4/24/2007
3397,Lions for Lambs,http://www.imdb.com/title/tt0891527/,2007,0,3,1,Cast,Robert Redford,http://www.imdb.com/name/nm0000602/,1936,m,white,http://www.boxofficemojo.com/movies/?id=lionsforlambs.htm,470,nm0000602,Lions for Lambs,11/9/2007,8/31/2007
3398,Lions for Lambs,http://www.imdb.com/title/tt0891527/,2007,0,4,2,Cast,Meryl Streep,http://www.imdb.com/name/nm0000658/,1949,f,white,http://www.boxofficemojo.com/movies/?id=lionsforlambs.htm,268,nm0000658,Lions for Lambs,11/9/2007,8/31/2007
3399,Lions for Lambs,http://www.imdb.com/title/tt0891527/,2007,0,5,3,Cast,Tom Cruise,http://www.imdb.com/name/nm0000129/,1962,m,white,http://www.boxofficemojo.com/movies/?id=lionsforlambs.htm,50,nm0000129,Lions for Lambs,11/9/2007,8/31/2007
3400,Lions for Lambs,http://www.imdb.com/title/tt0891527/,2007,0,6,4,Cast,Michael Peña,http://www.imdb.com/name/nm0671567/,1976,m,hispanic,http://www.boxofficemojo.com/movies/?id=lionsforlambs.htm,1477,nm0671567,Lions for Lambs,11/9/2007,8/31/2007
3401,Lions for Lambs,http://www.imdb.com/title/tt0891527/,2007,0,7,5,Cast,Andrew Garfield,http://www.imdb.com/name/nm1940449/,1983,m,white,http://www.boxofficemojo.com/movies/?id=lionsforlambs.htm,19566,nm1940449,Lions for Lambs,11/9/2007,8/31/2007
3402,Live Free or Die Hard,http://www.imdb.com/title/tt0337978/,2007,0,7,1,Cast,Bruce Willis,http://www.imdb.com/name/nm0000246/,1955,m,white,http://www.boxofficemojo.com/movies/?id=diehard4.htm,9,nm0000246,Live Free or Die Hard,6/27/2007,4/18/2007
3403,Live Free or Die Hard,http://www.imdb.com/title/tt0337978/,2007,0,8,2,Cast,Timothy Olyphant,http://www.imdb.com/name/nm0648249/,1968,m,white,http://www.boxofficemojo.com/movies/?id=diehard4.htm,272,nm0648249,Live Free or Die Hard,6/27/2007,4/18/2007
3404,Live Free or Die Hard,http://www.imdb.com/title/tt0337978/,2007,0,9,3,Cast,Justin Long,http://www.imdb.com/name/nm0519043/,1978,m,white,http://www.boxofficemojo.com/movies/?id=diehard4.htm,431,nm0519043,Live Free or Die Hard,6/27/2007,4/18/2007
3405,Live Free or Die Hard,http://www.imdb.com/title/tt0337978/,2007,0,10,4,Cast,Maggie Q,http://www.imdb.com/name/nm0702572/,1979,f,asian,http://www.boxofficemojo.com/movies/?id=diehard4.htm,557,nm0702572,Live Free or Die Hard,6/27/2007,4/18/2007
3406,Live Free or Die Hard,http://www.imdb.com/title/tt0337978/,2007,0,11,5,Cast,Cliff Curtis,http://www.imdb.com/name/nm0193295/,1968,m,white,http://www.boxofficemojo.com/movies/?id=diehard4.htm,746,nm0193295,Live Free or Die Hard,6/27/2007,4/18/2007
3407,Love in the Time of Cholera,http://www.imdb.com/title/tt0484740/,2007,0,7,1,Cast,Javier Bardem,http://www.imdb.com/name/nm0000849/,1969,m,hispanic,http://www.boxofficemojo.com/movies/?id=loveinthetimeofcholera.htm,1196,nm0000849,Love in the Time of Cholera,11/16/2007,9/7/2007
3408,Love in the Time of Cholera,http://www.imdb.com/title/tt0484740/,2007,0,6,2,Cast,Giovanna Mezzogiorno,http://www.imdb.com/name/nm0583856/,1974,f,white,http://www.boxofficemojo.com/movies/?id=loveinthetimeofcholera.htm,5299,nm0583856,Love in the Time of Cholera,11/16/2007,9/7/2007
3409,Love in the Time of Cholera,http://www.imdb.com/title/tt0484740/,2007,0,4,3,Cast,Benjamin Bratt,http://www.imdb.com/name/nm0000973/,1963,m,white,http://www.boxofficemojo.com/movies/?id=loveinthetimeofcholera.htm,1464,nm0000973,Love in the Time of Cholera,11/16/2007,9/7/2007
3410,Love in the Time of Cholera,http://www.imdb.com/title/tt0484740/,2007,0,20,4,Cast,John Leguizamo,http://www.imdb.com/name/nm0000491/,1964,m,hispanic,http://www.boxofficemojo.com/movies/?id=loveinthetimeofcholera.htm,695,nm0000491,Love in the Time of Cholera,11/16/2007,9/7/2007
3411,Love in the Time of Cholera,http://www.imdb.com/title/tt0484740/,2007,0,22,5,Cast,Fernanda Montenegro,http://www.imdb.com/name/nm0005244/,1929,f,hispanic,http://www.boxofficemojo.com/movies/?id=loveinthetimeofcholera.htm,14700,nm0005244,Love in the Time of Cholera,11/16/2007,9/7/2007
3412,Lucky You,http://www.imdb.com/title/tt0338216/,2007,0,6,1,Cast,Eric Bana,http://www.imdb.com/name/nm0051509/,1968,m,white,http://www.boxofficemojo.com/movies/?id=luckyyou.htm,304,nm0051509,Lucky You,5/4/2007,2/23/2007
3413,Lucky You,http://www.imdb.com/title/tt0338216/,2007,0,8,2,Cast,Drew Barrymore,http://www.imdb.com/name/nm0000106/,1975,f,white,http://www.boxofficemojo.com/movies/?id=luckyyou.htm,11,nm0000106,Lucky You,5/4/2007,2/23/2007
3414,Lucky You,http://www.imdb.com/title/tt0338216/,2007,0,13,3,Cast,Robert Duvall,http://www.imdb.com/name/nm0000380/,1931,m,white,http://www.boxofficemojo.com/movies/?id=luckyyou.htm,391,nm0000380,Lucky You,5/4/2007,2/23/2007
3415,Lucky You,http://www.imdb.com/title/tt0338216/,2007,0,10,4,Cast,Debra Messing,http://www.imdb.com/name/nm0005226/,1968,f,white,http://www.boxofficemojo.com/movies/?id=luckyyou.htm,824,nm0005226,Lucky You,5/4/2007,2/23/2007
3416,Lucky You,http://www.imdb.com/title/tt0338216/,2007,0,15,5,Cast,Robert Downey Jr.,http://www.imdb.com/name/nm0000375/,1965,m,white,http://www.boxofficemojo.com/movies/?id=luckyyou.htm,266,nm0000375,Lucky You,5/4/2007,2/23/2007
3417,"Lust, Caution",http://www.imdb.com/title/tt0808357/,2007,1,5,1,Cast,Tony Chiu Wai Leung,http://www.imdb.com/name/nm0504897/,,,,http://www.boxofficemojo.com/movies/?id=lustcaution.htm,2682,nm0504897,"Lust, Caution",9/28/2007,7/20/2007
3418,"Lust, Caution",http://www.imdb.com/title/tt0808357/,2007,1,6,2,Cast,Wei Tang,http://www.imdb.com/name/nm2325018/,1979,f,asian,http://www.boxofficemojo.com/movies/?id=lustcaution.htm,22778,nm2325018,"Lust, Caution",9/28/2007,7/20/2007
3419,"Lust, Caution",http://www.imdb.com/title/tt0808357/,2007,1,7,3,Cast,Joan Chen,http://www.imdb.com/name/nm0001040/,,,,http://www.boxofficemojo.com/movies/?id=lustcaution.htm,3363,nm0001040,"Lust, Caution",9/28/2007,7/20/2007
3420,"Lust, Caution",http://www.imdb.com/title/tt0808357/,2007,1,8,4,Cast,Leehom Wang,http://www.imdb.com/name/nm0910966/,1976,m,asian,http://www.boxofficemojo.com/movies/?id=lustcaution.htm,14499,nm0910966,"Lust, Caution",9/28/2007,7/20/2007
3421,"Lust, Caution",http://www.imdb.com/title/tt0808357/,2007,1,9,5,Cast,Chung-Hua Tou,http://www.imdb.com/name/nm0849916/,,,,http://www.boxofficemojo.com/movies/?id=lustcaution.htm,172272,nm0849916,"Lust, Caution",9/28/2007,7/20/2007
3422,Martian Child,http://www.imdb.com/title/tt0415965/,2007,0,5,1,Cast,John Cusack,http://www.imdb.com/name/nm0000131/,1966,m,white,http://www.boxofficemojo.com/movies/?id=martianchild.htm,171,nm0000131,Martian Child,11/2/2007,8/24/2007
3423,Martian Child,http://www.imdb.com/title/tt0415965/,2007,0,6,2,Cast,Bobby Coleman,http://www.imdb.com/name/nm1544100/,1997,m,white,http://www.boxofficemojo.com/movies/?id=martianchild.htm,10018,nm1544100,Martian Child,11/2/2007,8/24/2007
3424,Martian Child,http://www.imdb.com/title/tt0415965/,2007,0,7,3,Cast,Amanda Peet,http://www.imdb.com/name/nm0001605/,1972,f,white,http://www.boxofficemojo.com/movies/?id=martianchild.htm,422,nm0001605,Martian Child,11/2/2007,8/24/2007
3425,Martian Child,http://www.imdb.com/title/tt0415965/,2007,0,8,4,Cast,Sophie Okonedo,http://www.imdb.com/name/nm0645683/,1968,f,black,http://www.boxofficemojo.com/movies/?id=martianchild.htm,2855,nm0645683,Martian Child,11/2/2007,8/24/2007
3426,Martian Child,http://www.imdb.com/title/tt0415965/,2007,0,9,5,Cast,Joan Cusack,http://www.imdb.com/name/nm0000349/,1962,f,white,http://www.boxofficemojo.com/movies/?id=martianchild.htm,845,nm0000349,Martian Child,11/2/2007,8/24/2007
3427,Meet the Robinsons,http://www.imdb.com/title/tt0396555/,2007,1,10,1,Cast,Angela Bassett,http://www.imdb.com/name/nm0000291/,1958,f,black,http://www.boxofficemojo.com/movies/?id=meettherobinsons.htm,1627,nm0000291,Meet the Robinsons,3/30/2007,1/19/2007
3428,Meet the Robinsons,http://www.imdb.com/title/tt0396555/,2007,1,11,2,Cast,Daniel Hansen,http://www.imdb.com/name/nm0360743/,,,,http://www.boxofficemojo.com/movies/?id=meettherobinsons.htm,30637,nm0360743,Meet the Robinsons,3/30/2007,1/19/2007
3429,Meet the Robinsons,http://www.imdb.com/title/tt0396555/,2007,1,12,3,Cast,Jordan Fry,http://www.imdb.com/name/nm1627748/,,,,http://www.boxofficemojo.com/movies/?id=meettherobinsons.htm,3863,nm1627748,Meet the Robinsons,3/30/2007,1/19/2007
3430,Meet the Robinsons,http://www.imdb.com/title/tt0396555/,2007,1,13,4,Cast,Matthew Josten,http://www.imdb.com/name/nm1553654/,,,,http://www.boxofficemojo.com/movies/?id=meettherobinsons.htm,47036,nm1553654,Meet the Robinsons,3/30/2007,1/19/2007
3431,Meet the Robinsons,http://www.imdb.com/title/tt0396555/,2007,1,14,5,Cast,John H. H. Ford,http://www.imdb.com/name/nm2542546/,,,,http://www.boxofficemojo.com/movies/?id=meettherobinsons.htm,2221251,nm2542546,Meet the Robinsons,3/30/2007,1/19/2007
3432,Michael Clayton,http://www.imdb.com/title/tt0465538/,2007,0,8,1,Cast,George Clooney,http://www.imdb.com/name/nm0000123/,1961,m,white,http://www.boxofficemojo.com/movies/?id=michaelclayton.htm,119,nm0000123,Michael Clayton,10/5/2007,7/27/2007
3433,Michael Clayton,http://www.imdb.com/title/tt0465538/,2007,0,3,2,Cast,Tom Wilkinson,http://www.imdb.com/name/nm0929489/,1948,m,white,http://www.boxofficemojo.com/movies/?id=michaelclayton.htm,1559,nm0929489,Michael Clayton,10/5/2007,7/27/2007
3434,Michael Clayton,http://www.imdb.com/title/tt0465538/,2007,0,7,3,Cast,Tilda Swinton,http://www.imdb.com/name/nm0842770/,1960,f,white,http://www.boxofficemojo.com/movies/?id=michaelclayton.htm,937,nm0842770,Michael Clayton,10/5/2007,7/27/2007
3435,Michael Clayton,http://www.imdb.com/title/tt0465538/,2007,0,5,4,Cast,Sydney Pollack,http://www.imdb.com/name/nm0001628/,1934,m,white,http://www.boxofficemojo.com/movies/?id=michaelclayton.htm,2984,nm0001628,Michael Clayton,10/5/2007,7/27/2007
3436,Michael Clayton,http://www.imdb.com/title/tt0465538/,2007,0,4,5,Cast,Michael O'Keefe,http://www.imdb.com/name/nm0001574/,1955,m,white,http://www.boxofficemojo.com/movies/?id=michaelclayton.htm,2912,nm0001574,Michael Clayton,10/5/2007,7/27/2007
3437,Mr. Bean's Holiday,http://www.imdb.com/title/tt0453451/,2007,1,7,1,Cast,Rowan Atkinson,http://www.imdb.com/name/nm0000100/,1955,m,white,http://www.boxofficemojo.com/movies/?id=bean2.htm,838,nm0000100,Mr. Bean's Holiday,8/24/2007,6/15/2007
3438,Mr. Bean's Holiday,http://www.imdb.com/title/tt0453451/,2007,1,8,2,Cast,Steve Pemberton,http://www.imdb.com/name/nm0671487/,,,,http://www.boxofficemojo.com/movies/?id=bean2.htm,14436,nm0671487,Mr. Bean's Holiday,8/24/2007,6/15/2007
3439,Mr. Bean's Holiday,http://www.imdb.com/title/tt0453451/,2007,1,9,3,Cast,Lily Atkinson,http://www.imdb.com/name/nm1372570/,,,,http://www.boxofficemojo.com/movies/?id=bean2.htm,83500,nm1372570,Mr. Bean's Holiday,8/24/2007,6/15/2007
3440,Mr. Bean's Holiday,http://www.imdb.com/title/tt0453451/,2007,1,10,4,Cast,Preston Nyman,http://www.imdb.com/name/nm2085738/,,,,http://www.boxofficemojo.com/movies/?id=bean2.htm,24865,nm2085738,Mr. Bean's Holiday,8/24/2007,6/15/2007
3441,Mr. Bean's Holiday,http://www.imdb.com/title/tt0453451/,2007,1,11,5,Cast,Sharlit Deyzac,http://www.imdb.com/name/nm2477879/,,,,http://www.boxofficemojo.com/movies/?id=bean2.htm,54651,nm2477879,Mr. Bean's Holiday,8/24/2007,6/15/2007
3442,Mr. Brooks,http://www.imdb.com/title/tt0780571/,2007,0,4,1,Cast,Kevin Costner,http://www.imdb.com/name/nm0000126/,1955,m,white,http://www.boxofficemojo.com/movies/?id=mrbrooks.htm,239,nm0000126,Mr. Brooks,6/1/2007,3/23/2007
3443,Mr. Brooks,http://www.imdb.com/title/tt0780571/,2007,0,5,2,Cast,Demi Moore,http://www.imdb.com/name/nm0000193/,1962,f,white,http://www.boxofficemojo.com/movies/?id=mrbrooks.htm,236,nm0000193,Mr. Brooks,6/1/2007,3/23/2007
3444,Mr. Brooks,http://www.imdb.com/title/tt0780571/,2007,0,6,3,Cast,Dane Cook,http://www.imdb.com/name/nm0176981/,1972,m,white,http://www.boxofficemojo.com/movies/?id=mrbrooks.htm,188,nm0176981,Mr. Brooks,6/1/2007,3/23/2007
3445,Mr. Brooks,http://www.imdb.com/title/tt0780571/,2007,0,7,4,Cast,William Hurt,http://www.imdb.com/name/nm0000458/,1950,m,white,http://www.boxofficemojo.com/movies/?id=mrbrooks.htm,444,nm0000458,Mr. Brooks,6/1/2007,3/23/2007
3446,Mr. Brooks,http://www.imdb.com/title/tt0780571/,2007,0,8,5,Cast,Marg Helgenberger,http://www.imdb.com/name/nm0001339/,1958,f,white,http://www.boxofficemojo.com/movies/?id=mrbrooks.htm,778,nm0001339,Mr. Brooks,6/1/2007,3/23/2007
3447,Mr. Magorium's Wonder Emporium,http://www.imdb.com/title/tt0457419/,2007,0,6,1,Cast,Dustin Hoffman,http://www.imdb.com/name/nm0000163/,1937,m,white,http://www.boxofficemojo.com/movies/?id=mrmagorium.htm,357,nm0000163,Mr. Magorium's Wonder Emporium,11/16/2007,9/7/2007
3448,Mr. Magorium's Wonder Emporium,http://www.imdb.com/title/tt0457419/,2007,0,4,2,Cast,Natalie Portman,http://www.imdb.com/name/nm0000204/,1981,f,white,http://www.boxofficemojo.com/movies/?id=mrmagorium.htm,66,nm0000204,Mr. Magorium's Wonder Emporium,11/16/2007,9/7/2007
3449,Mr. Magorium's Wonder Emporium,http://www.imdb.com/title/tt0457419/,2007,0,13,3,Cast,Jason Bateman,http://www.imdb.com/name/nm0000867/,1969,m,white,http://www.boxofficemojo.com/movies/?id=mrmagorium.htm,299,nm0000867,Mr. Magorium's Wonder Emporium,11/16/2007,9/7/2007
3450,Mr. Magorium's Wonder Emporium,http://www.imdb.com/title/tt0457419/,2007,0,5,4,Cast,Zach Mills,http://www.imdb.com/name/nm1517875/,1995,m,white,http://www.boxofficemojo.com/movies/?id=mrmagorium.htm,8250,nm1517875,Mr. Magorium's Wonder Emporium,11/16/2007,9/7/2007
3451,Mr. Magorium's Wonder Emporium,http://www.imdb.com/title/tt0457419/,2007,0,3,5,Cast,Ted Ludzik,http://www.imdb.com/name/nm0525076/,1966,m,white,http://www.boxofficemojo.com/movies/?id=mrmagorium.htm,31151,nm0525076,Mr. Magorium's Wonder Emporium,11/16/2007,9/7/2007
