,year,bomrank,bomtitle,bomlink,domesticgross,foreigngross,runtimemin,productionbudget,majordistributor,grated,rrated,unrated,remove,imdblink,studio,totalusgross,totaltheater,openingusgross,openingtheaters,foreigndm,languagecount,_merge2,qualityfilm,countaward,_merge3,genrespanning,_merge4,criticratings_avg,criticrating_var,user_avg,user_var,_merge5,imdbfilmtitle,avg_minority_gender,avg_minority_race,avg_minority,avg_minority_1,multidirector,releasedate,closedate,numberofcritics
0,2013,151,The Wizard of Oz (3D/IMAX),http://www.boxofficemojo.com/movies/?id=wizardofozimax.htm,5633202,,101,,1,1,0,0,1,http://www.imdb.com/title/tt0032138/,WB,5633202,318,3093998,318,0,1,matched (3),1,24,matched (3),4,matched (3),100,0,8,3.1889999,matched (3),The Wizard of Oz,0,0,0,0,0,"September 20, 2013","October 17, 2013",4
1,2012,191,Singin' In the Rain (2012 re-release),http://www.boxofficemojo.com/movies/?id=singinintherain2012.htm,1608925,,103,,1,1,0,0,1,http://www.imdb.com/title/tt0045152/,WB,1608925,561,587211,561,0,1,matched (3),1,19,matched (3),3,matched (3),99,45,8.3000002,3.0212901,matched (3),Singin' in the Rain,0,0,0,0,1,"July 12, 2012","August 26, 2012",10
2,2012,166,Raiders of the Lost Ark (IMAX),http://www.boxofficemojo.com/movies/?id=raidersimax.htm,3125613,,115,,1,0,0,0,1,http://www.imdb.com/title/tt0082971/,Par.,3125613,322,1673731,267,0,1,matched (3),1,74,matched (3),2,matched (3),85,485,8.5,2.0380001,matched (3),Raiders of the Lost Ark,0,0,0,0,0,"September 7, 2012","October 4, 2012",10
3,2014,157,Ghostbusters (30th Anniversary re-release),http://www.boxofficemojo.com/movies/?id=ghostbusters2014.htm,3580343,1892000,,,1,0,0,0,1,http://www.imdb.com/title/tt0087332/,Sony,3580343,784,1756513,784,0,1,matched (3),1,27,matched (3),4,matched (3),71,162.75,7.8000002,2.2205999,matched (3),Ghostbusters,0,0,0,0,1,"August 29, 2014","September 18, 2014",8
4,2015,194,Back to the Future Day,http://www.boxofficemojo.com/movies/?id=backtothefutureday.htm,1650000,3200000,,,0,0,0,0,1,http://www.imdb.com/title/tt0088763/,UHE,1650000,1815,,,0,1,matched (3),1,71,matched (3),3,matched (3),87,347.10001,8.5,1.96425,matched (3),Back to the Future,0,0,0,0,1,"October 21, 2015","October 21, 2015",10
5,2013,163,Top Gun 3D,http://www.boxofficemojo.com/movies/?id=topgun3d.htm,3018873,5300000,110,,1,0,0,0,1,http://www.imdb.com/title/tt0092099/,Par.,3018873,300,1965737,300,0,1,matched (3),1,24,matched (3),3,matched (3),50,388.79999,6.9000001,3.1587901,matched (3),Top Gun,0,0,0,0,0,"February 8, 2013","February 21, 2013",10
6,2012,71,Beauty and the Beast (3D),http://www.boxofficemojo.com/movies/?id=beautyandthebeast3d.htm,47617067,14410056,84,,1,1,0,0,1,http://www.imdb.com/title/tt0101414/,BV,47617067,2625,17751905,2625,0,1,matched (3),1,93,matched (3),5,matched (3),95,47.400002,8,2.4990001,matched (3),Beauty and the Beast,0,0,0,0,1,"January 13, 2012","May 3, 2012",10
7,2013,72,Jurassic Park 3D,http://www.boxofficemojo.com/movies/?id=jurassicpark3d.htm,45385935,71100000,127,10000000,1,0,0,0,1,http://www.imdb.com/title/tt0107290/,Uni.,45385935,2778,18620145,2771,0,1,matched (3),1,74,matched (3),3,matched (3),68,414,8.1000004,2.1612101,matched (3),Jurassic Park,0,0,0,0,0,"April 5, 2013","May 23, 2013",10
8,2006,159,Tim Burton's The Nightmare Before Christmas in 3-D (2006),http://www.boxofficemojo.com/movies/?id=3d06.htm,8700869,2410396,76,,1,0,0,0,,http://www.imdb.com/title/tt0107688/,BV,8700869,168,3277004,168,0,1,matched (3),1,25,matched (3),4,matched (3),82,139.8,8,2.809,matched (3),The Nightmare Before Christmas,0,0,0,0,0,"October 20, 2006","January 4, 2007",10
9,2011,33,The Lion King (in 3D),http://www.boxofficemojo.com/movies/?id=lionking3d.htm,94242001,91300000,89,,1,1,0,0,1,http://www.imdb.com/title/tt0110357/,BV,94242001,2340,30151614,2330,0,1,matched (3),1,97,matched (3),5,matched (3),83,183.2,8.5,2.1577499,matched (3),The Lion King,0,0,0,0,1,"September 16, 2011","January 12, 2012",10
10,2012,56,Titanic 3D,http://www.boxofficemojo.com/movies/?id=titanic3d.htm,57884114,285666656,194,18000000,1,0,0,0,1,http://www.imdb.com/title/tt0120338/,Par.,57884114,3674,17285453,2674,0,1,matched (3),1,318,matched (3),2,matched (3),75,476.89999,7.8000002,4.1266398,matched (3),Titanic,0,0,0,0,0,"April 4, 2012","June 7, 2012",10
11,2005,13,Fantastic Four (2005),http://www.boxofficemojo.com/movies/?id=fantasticfour.htm,154696080,175883639,123,100000000,1,0,0,0,,http://www.imdb.com/title/tt0120667/,Fox,154696080,3619,56061504,3602,0,2,matched (3),0,19,matched (3),3,matched (3),40,166.2,5.6999998,3.3288901,matched (3),Fantastic Four,0,1,1,1,1,"July 8, 2005","December 29, 2005",10
12,2012,78,Star Wars: Episode I - The Phantom Menace (in 3D),http://www.boxofficemojo.com/movies/?id=starwars3d.htm,43456382,59283211,133,,1,0,0,0,1,http://www.imdb.com/title/tt0120915/,Fox,43456382,2655,22469932,2655,0,1,matched (3),1,152,matched (3),4,matched (3),51,363.10001,6.5,4.3004999,matched (3),Star Wars: Episode I - The Phantom Menace,0,0,0,0,0,"February 10, 2012","May 28, 2012",10
13,2005,51,Tim Burton's Corpse Bride,http://www.boxofficemojo.com/movies/?id=corpsebride.htm,53359111,63835950,74,,1,0,0,0,,http://www.imdb.com/title/tt0121164/,WB,53359111,3204,388166,5,0,2,matched (3),1,56,matched (3),6,matched (3),83,163.2,7.4000001,2.434,matched (3),Corpse Bride,0,0,0,0,1,"September 16, 2005","December 22, 2005",10
14,2005,1,Star Wars: Episode III - Revenge of the Sith,http://www.boxofficemojo.com/movies/?id=starwars3.htm,380270577,468484191,146,113000000,1,0,0,0,,http://www.imdb.com/title/tt0121766/,Fox,380270577,3663,108435841,3661,0,1,matched (3),1,130,matched (3),4,matched (3),68,373.20001,7.5999999,3.6619999,matched (3),Star Wars: Episode III - Revenge of the Sith,0,0,0,0,0,"May 19, 2005","October 20, 2005",10
15,2004,49,Hellboy,http://www.boxofficemojo.com/movies/?id=hellboy.htm,59623958,39695029,112,66000000,1,0,0,0,,http://www.imdb.com/title/tt0167190/,SonR,59623958,3043,23172440,3028,0,1,matched (3),0,40,matched (3),4,matched (3),72,217.7,6.9000001,2.4875901,matched (3),Hellboy,0,1,1,0,0,"April 2, 2004","July 1, 2004",10
16,2004,151,Thunderbirds,http://www.boxofficemojo.com/movies/?id=thunderbirds.htm,6880917,21402720,95,57000000,1,0,0,0,,http://www.imdb.com/title/tt0167456/,Uni.,6880917,2062,2766810,2057,1,3,matched (3),0,1,matched (3),5,matched (3),36,416.89999,4.3000002,6.3355999,matched (3),Thunderbirds,,,,,0,"July 30, 2004","August 26, 2004",10
17,2012,94,"Monsters, Inc. (3D)",http://www.boxofficemojo.com/movies/?id=monstersinc3d.htm,34043006,3400000,90,,1,1,0,0,1,http://www.imdb.com/title/tt0198781/,BV,34043006,2618,4774686,2618,0,1,matched (3),1,94,matched (3),5,matched (3),78,209.5,8.1000004,1.88278,matched (3),"Monsters, Inc.",0,0,0,0,1,"December 19, 2012","May 2, 2013",10
18,2008,98,The Bank Job,http://www.boxofficemojo.com/movies/?id=bankjob.htm,30060660,34762136,110,,0,0,1,0,,http://www.imdb.com/title/tt0200465/,LGF,30060660,1613,5935256,1603,1,3,matched (3),0,2,matched (3),4,matched (3),69,79.599998,7.1999998,1.8275599,matched (3),The Bank Job,0,0,0,0,0,"March 7, 2008","June 5, 2008",10
19,2004,72,Exorcist: The Beginning,http://www.boxofficemojo.com/movies/?id=exorcist4.htm,41821986,36178600,114,80000000,1,0,1,0,,http://www.imdb.com/title/tt0204313/,WB,41821986,2813,18054001,2803,0,1,matched (3),0,5,matched (3),3,matched (3),30,162.5,5.0999999,4.3268099,matched (3),Exorcist: The Beginning,0,0,0,0,0,"August 20, 2004","November 11, 2004",10
20,2006,89,Children of Men,http://www.boxofficemojo.com/movies/?id=childrenofmen.htm,35552383,34407368,109,76000000,1,0,1,0,,http://www.imdb.com/title/tt0206634/,Uni.,35552383,1524,501003,16,0,2,matched (3),1,256,matched (3),3,matched (3),84,117,7.9000001,2.9828,matched (3),Children of Men,0,1,1,0,0,"December 25, 2006","March 15, 2007",10
21,2007,129,Awake,http://www.boxofficemojo.com/movies/?id=awake.htm,14377198,18308481,84,8600000,0,0,1,0,,http://www.imdb.com/title/tt0211933/,MGM/W,14377198,2023,5856872,2002,0,1,matched (3),0,7,matched (3),3,matched (3),33,391.60001,6.5,3.3794999,matched (3),Awake,0,0,0,0,1,"November 30, 2007","March 6, 2008",10
22,2005,198,2046,http://www.boxofficemojo.com/movies/?id=2046.htm,1444588,18025651,129,12000000,1,0,1,0,,http://www.imdb.com/title/tt0212712/,SPC,1444588,61,113074,4,1,2,matched (3),1,130,matched (3),3,matched (3),78,276.5,7.5,3.4059999,matched (3),2046,,,,,0,"August 5, 2005","December 8, 2005",10
23,2006,191,Water,http://www.boxofficemojo.com/movies/?id=water06.htm,3278815,4893243,114,,1,0,1,0,,http://www.imdb.com/title/tt0240200/,FoxS,3278815,91,56280,5,0,2,matched (3),1,31,matched (3),2,matched (3),77,161.89999,7.8000002,3.2778399,matched (3),Water,,,,,0,"April 28, 2006","October 15, 2006",10
24,2004,120,Vanity Fair,http://www.boxofficemojo.com/movies/?id=vanityfair.htm,16136476,3326709,140,23000000,0,0,0,0,,http://www.imdb.com/title/tt0241025/,Focus,16136476,1054,4833900,1051,0,3,matched (3),1,8,matched (3),1,matched (3),53,136.5,6.1999998,3.76564,matched (3),Vanity Fair,1,1,1,0,0,"September 1, 2004","November 11, 2004",10
25,2004,137,Surviving Christmas,http://www.boxofficemojo.com/movies/?id=survivingchristmas.htm,11663156,3457644,92,,0,0,0,0,,http://www.imdb.com/title/tt0252028/,DW,11663156,2755,4441356,2750,0,1,matched (3),0,8,matched (3),2,matched (3),19,426.5,5.4000001,4.8067999,matched (3),Surviving Christmas,0,0,0,0,0,"October 22, 2004","November 23, 2004",10
26,2005,117,Cursed,http://www.boxofficemojo.com/movies/?id=cursed.htm,19297522,10324200,96,38000000,0,0,0,0,,http://www.imdb.com/title/tt0257516/,Dim.,19297522,2805,9633085,2805,0,2,matched (3),0,1,matched (3),2,matched (3),31,186.60001,5,4.8210001,matched (3),Cursed,0,0,0,0,0,"February 25, 2005","May 13, 2005",10
27,2007,27,Ghost Rider,http://www.boxofficemojo.com/movies/?id=ghostrider.htm,115802596,112935797,110,110000000,1,0,0,0,,http://www.imdb.com/title/tt0259324/,Sony,115802596,3620,45388836,3619,0,2,matched (3),0,15,matched (3),3,matched (3),35,180.2,5.1999998,4.5510402,matched (3),Ghost Rider,0,0,0,0,0,"February 16, 2007","April 29, 2007",10
28,2004,122,The Girl Next Door,http://www.boxofficemojo.com/movies/?id=girlnextdoor.htm,14589444,15821739,109,,1,0,1,0,,http://www.imdb.com/title/tt0265208/,Fox,14589444,2148,6003806,2148,0,1,matched (3),0,6,matched (3),3,matched (3),47,349.79999,6.6999998,3.2372,matched (3),The Girl Next Door,0,0,0,0,0,"April 9, 2004","June 27, 2004",10
29,2012,82,Finding Nemo (3D),http://www.boxofficemojo.com/movies/?id=findingnemo3d.htm,41128283,31000000,104,,1,1,0,0,1,http://www.imdb.com/title/tt0266543/,BV,41128283,2904,16687773,2904,0,1,matched (3),1,154,matched (3),4,matched (3),90,103.3,8.1000004,2.09321,matched (3),Finding Nemo,0,0,0,0,1,"September 14, 2012","January 17, 2013",10
30,2005,77,The Ringer,http://www.boxofficemojo.com/movies/?id=ringer.htm,35428675,5013762,94,,1,0,0,0,,http://www.imdb.com/title/tt0267891/,FoxS,35428675,1853,5158795,1829,0,1,matched (3),0,1,matched (3),2,matched (3),46,422.5,5.8000002,4.1893601,matched (3),The Ringer,0,0,0,0,0,"December 23, 2005","March 30, 2006",10
31,2004,145,Super Babies: Baby Geniuses 2,http://www.boxofficemojo.com/movies/?id=babygeniuses2.htm,9219388,229256,88,,0,0,0,0,,http://www.imdb.com/title/tt0270846/,Triu,9219388,1276,3251856,1276,0,3,matched (3),0,6,matched (3),3,matched (3),9,360,2,19.101,matched (3),Superbabies: Baby Geniuses 2,0,0,0,0,0,"August 27, 2004","October 3, 2004",10
32,2004,102,Darkness,http://www.boxofficemojo.com/movies/?id=darkness.htm,22163442,12245764,102,10600000,0,0,0,0,,http://www.imdb.com/title/tt0273517/,Dim.,22163442,1718,6163306,1700,0,2,matched (3),0,7,matched (3),1,matched (3),15,132.5,5.4000001,5.2782001,matched (3),Darkness,0,1,1,0,1,"December 25, 2004","March 10, 2005",10
33,2004,162,Bad Education,http://www.boxofficemojo.com/movies/?id=badeducation.htm,5211842,35062088,109,5000000,1,0,0,0,,http://www.imdb.com/title/tt0275491/,SPC,5211842,106,147370,3,1,1,matched (3),1,58,matched (3),5,matched (3),81,658.70001,7.5,2.7655001,matched (3),Bad Education,,,,,0,"November 19, 2004","April 25, 2005",10
34,2004,179,Therese: The Story of Saint Therese of Lisieux,http://www.boxofficemojo.com/movies/?id=therese.htm,2627016,62812,96,,0,0,0,0,,http://www.imdb.com/title/tt0286218/,Luke,2627016,65,357000,32,0,1,matched (3),,,master only (1),2,matched (3),27,284,6.5,8.2659998,matched (3),Thérèse: The Story of Saint Thérèse of Lisieux,0,0,0,0,0,"October 1, 2004","January 22, 2006",10
35,2004,53,The Butterfly Effect,http://www.boxofficemojo.com/movies/?id=butterflyeffect.htm,57938693,38122165,114,13000000,0,0,1,0,,http://www.imdb.com/title/tt0289879/,NL,57938693,2605,17065227,2605,0,2,matched (3),0,10,matched (3),2,matched (3),30,492.5,7.6999998,2.54391,matched (3),The Butterfly Effect,0,0,0,0,1,"January 23, 2004","May 20, 2004",10
36,2004,4,Meet the Fockers,http://www.boxofficemojo.com/movies/?id=meetthefockers.htm,279261160,237381779,114,80000000,1,0,0,0,,http://www.imdb.com/title/tt0290002/,Uni.,279261160,3554,46120980,3518,0,1,matched (3),0,8,matched (3),2,matched (3),41,298.79999,6.3000002,2.7872,matched (3),Meet the Fockers,0,0,0,0,0,"December 22, 2004","June 16, 2005",10
37,2005,182,G,http://www.boxofficemojo.com/movies/?id=g.htm,3020784,,99,,0,0,1,0,,http://www.imdb.com/title/tt0291928/,Aloha,3020784,495,248337,42,0,1,matched (3),0,3,matched (3),2,matched (3),42,227.7,5.0999999,7.8271999,matched (3),G,0,0,0,0,0,"September 16, 2005","November 20, 2005",10
38,2007,164,Before the Devil Knows You're Dead,http://www.boxofficemojo.com/movies/?id=beforethedevilknowsyouredead.htm,7084227,17947902,123,,0,0,1,0,,http://www.imdb.com/title/tt0292963/,Think,7084227,321,73837,2,0,1,matched (3),1,61,matched (3),3,matched (3),84,214.5,7.3000002,2.3115101,matched (3),Before the Devil Knows You're Dead,0,0,0,0,0,"October 26, 2007","March 13, 2008",10
39,2004,63,The Phantom of the Opera,http://www.boxofficemojo.com/movies/?id=phantomoftheopera.htm,51268815,103380072,143,70000000,1,0,0,0,,http://www.imdb.com/title/tt0293508/,WB,51268815,1515,4001890,622,1,2,matched (3),1,70,matched (3),4,matched (3),40,372.5,7.3000002,4.2923999,matched (3),The Phantom of the Opera,0,0,0,0,1,"December 22, 2004","May 12, 2005",10
40,2007,16,Rush Hour 3,http://www.boxofficemojo.com/movies/?id=rushhour3.htm,140125968,117896265,90,140000000,0,0,0,0,,http://www.imdb.com/title/tt0293564/,NL,140125968,3778,49100158,3778,0,2,matched (3),0,23,matched (3),4,matched (3),44,273.79999,6.1999998,3.64116,matched (3),Rush Hour 3,0,0,0,0,0,"August 10, 2007","November 15, 2007",10
41,2005,94,Rent,http://www.boxofficemojo.com/movies/?id=rent.htm,29077547,2593073,135,40000000,1,0,0,0,,http://www.imdb.com/title/tt0294870/,SonR,29077547,2437,10016021,2433,0,1,matched (3),0,51,matched (3),3,matched (3),53,576.59998,7,6.086,matched (3),Rent,0,0,0,0,0,"November 23, 2005","January 2, 2006",10
42,2004,55,The Chronicles of Riddick,http://www.boxofficemojo.com/movies/?id=chroniclesofriddick.htm,57761012,58011721,119,105000000,1,0,0,0,,http://www.imdb.com/title/tt0296572/,Uni.,57761012,2757,24289165,2757,0,1,matched (3),0,6,matched (3),4,matched (3),38,90.199997,6.6999998,3.26489,matched (3),The Chronicles of Riddick,0,0,0,0,0,"June 11, 2004","August 26, 2004",10
43,2005,169,Mindhunters,http://www.boxofficemojo.com/movies/?id=mindhunters.htm,4480744,16668085,106,,0,0,1,0,,http://www.imdb.com/title/tt0297284/,Dim.,4480744,1040,1911358,1040,0,4,matched (3),0,4,matched (3),4,matched (3),33,529.79999,6.4000001,3.3268001,matched (3),Mindhunters,0,0,0,0,0,"May 13, 2005","July 14, 2005",10
44,2004,1,Shrek 2,http://www.boxofficemojo.com/movies/?id=shrek2.htm,441226247,478612511,93,150000000,0,0,0,0,,http://www.imdb.com/title/tt0298148/,DW,441226247,4223,108037878,4163,0,1,matched (3),1,123,matched (3),6,matched (3),75,94.400002,7.1999998,2.3796,matched (3),Shrek 2,0,0,0,0,1,"May 19, 2004","November 25, 2004",10
45,2004,65,Home on the Range,http://www.boxofficemojo.com/movies/?id=homeontherange.htm,50030461,53921000,76,110000000,1,0,0,0,,http://www.imdb.com/title/tt0299172/,BV,50030461,3058,13880771,3047,0,1,matched (3),0,5,matched (3),5,matched (3),50,248.89999,5.4000001,4.0480399,matched (3),Home on the Range,0,0,0,0,1,"April 2, 2004","August 26, 2004",10
46,2004,58,Hero,http://www.boxofficemojo.com/movies/?id=hero02.htm,53710019,123684413,99,31000000,0,0,0,0,,http://www.imdb.com/title/tt0299977/,Mira.,53710019,2175,18004319,2031,1,2,matched (3),1,99,matched (3),3,matched (3),85,87.199997,7.9000001,3.0852001,matched (3),Hero,,,,,1,"August 27, 2004","November 25, 2004",10
47,2004,94,Jersey Girl,http://www.boxofficemojo.com/movies/?id=jerseygirl.htm,25268157,10830225,103,35000000,0,0,0,0,,http://www.imdb.com/title/tt0300051/,Mira.,25268157,1821,8319171,1520,0,1,matched (3),0,8,matched (3),3,matched (3),43,304.10001,6.1999998,3.9177999,matched (3),Jersey Girl,0,0,0,0,0,"March 26, 2004","July 1, 2004",10
48,2004,168,"Good Bye, Lenin!",http://www.boxofficemojo.com/movies/?id=goodbyelenin.htm,4064200,75320680,121,,1,0,1,0,,http://www.imdb.com/title/tt0301357/,SPC,4064200,125,57968,6,1,1,matched (3),1,55,matched (3),2,matched (3),68,106.5,7.6999998,1.7844,matched (3),Good Bye Lenin!,,,,,0,"February 27, 2004","August 5, 2004",10
49,2004,6,Harry Potter and the Prisoner of Azkaban,http://www.boxofficemojo.com/movies/?id=harrypotter3.htm,249541069,547147480,142,130000000,1,0,0,0,,http://www.imdb.com/title/tt0304141/,WB,249541069,3855,93687367,3855,1,2,matched (3),1,119,matched (3),4,matched (3),82,107.4,7.9000001,2.4856,matched (3),Harry Potter and the Prisoner of Azkaban,0,1,1,0,0,"June 4, 2004","December 19, 2004",10
50,2004,11,Shark Tale,http://www.boxofficemojo.com/movies/?id=sharktale.htm,160861908,206413111,90,75000000,0,0,0,0,,http://www.imdb.com/title/tt0307453/,DW,160861908,4070,47604606,4016,0,1,matched (3),1,29,matched (3),4,matched (3),48,233.2,6,3.1860001,matched (3),Shark Tale,0.33333334,0,0.33333334,0,1,"October 1, 2004","January 6, 2005",10
51,2006,154,Bobby,http://www.boxofficemojo.com/movies/?id=bobby.htm,11242801,9461790,120,,0,0,1,0,,http://www.imdb.com/title/tt0308055/,MGM/W,11242801,1670,69039,2,0,1,matched (3),1,101,matched (3),2,matched (3),54,257.79999,7,3.483,matched (3),Bobby,0,0,0,0,0,"November 17, 2006",,10
52,2007,123,Happily N'Ever After,http://www.boxofficemojo.com/movies/?id=happilyneverafter.htm,15589393,22496385,87,,0,0,0,0,,http://www.imdb.com/title/tt0308353/,LGF,15589393,2381,6608244,2381,0,2,matched (3),0,1,matched (3),5,matched (3),28,280.10001,4.5,6.5384998,matched (3),Happily N'Ever After,0,0,0,0,0,"January 5, 2007","February 15, 2007",10
53,2004,61,Finding Neverland,http://www.boxofficemojo.com/movies/?id=findingneverland.htm,51680613,65085943,101,25000000,0,0,0,0,,http://www.imdb.com/title/tt0308644/,Mira.,51680613,1411,220524,8,0,2,matched (3),1,121,matched (3),3,matched (3),67,283.20001,7.6999998,2.77951,matched (3),Finding Neverland,0,0,0,0,0,"November 12, 2004","April 28, 2005",10
54,2004,181,The Dreamers,http://www.boxofficemojo.com/movies/?id=dreamers.htm,2532228,12588937,116,15000000,1,0,0,0,,http://www.imdb.com/title/tt0309987/,FoxS,2532228,116,142632,5,1,3,matched (3),0,9,matched (3),2,matched (3),62,226.5,7.1999998,3.2925999,matched (3),The Dreamers,,,,,0,"February 6, 2004","June 10, 2004",10
55,2004,183,Bon Voyage,http://www.boxofficemojo.com/movies/?id=bonvoyage.htm,2354559,6546203,114,,1,0,0,0,,http://www.imdb.com/title/tt0310778/,SPC,2354559,94,27480,1,1,1,matched (3),0,18,matched (3),6,matched (3),68,225.60001,6.9000001,3.2939899,matched (3),Bon voyage,,,,,0,"March 19, 2004","August 19, 2004",10
56,2005,47,Wallace and Gromit: The Curse of the Were-Rabbit,http://www.boxofficemojo.com/movies/?id=wallaceandgromit05.htm,56110897,136499475,85,30000000,0,1,0,0,,http://www.imdb.com/title/tt0312004/,DW,56110897,3656,16025987,3645,1,2,matched (3),1,99,matched (3),5,matched (3),87,94.400002,7.5,2.7142501,matched (3),The Curse of the Were-Rabbit,,,,,1,"October 5, 2005","January 5, 2006",10
57,2004,158,Against the Ropes,http://www.boxofficemojo.com/movies/?id=againsttheropes.htm,5884190,730090,115,,1,0,0,0,,http://www.imdb.com/title/tt0312329/,Par.,5884190,1601,3038546,1601,0,2,matched (3),,,master only (1),4,matched (3),36,115.9,5.3000002,3.77089,matched (3),Against the Ropes,0,1,1,1,0,"February 20, 2004","April 8, 2004",10
58,2004,196,The Blue Butterfly,http://www.boxofficemojo.com/movies/?id=bluebutterfly.htm,1755355,,97,,0,0,0,0,,http://www.imdb.com/title/tt0313300/,All.,1755355,73,228509,73,1,3,matched (3),0,10,matched (3),2,matched (3),,,6.3000002,3.59271,matched (3),The Blue Butterfly,,,,,0,"February 20, 2004",,0
59,2004,142,The Perfect Score,http://www.boxofficemojo.com/movies/?id=perfectscore.htm,10391003,485802,103,,1,0,0,0,,http://www.imdb.com/title/tt0314498/,Par.,10391003,2208,4873819,2208,0,2,matched (3),0,1,matched (3),2,matched (3),35,268.39999,5.6999998,3.68609,matched (3),The Perfect Score,0,0,0,0,0,"January 30, 2004","April 1, 2004",10
60,2004,171,Benji Off the Leash,http://www.boxofficemojo.com/movies/?id=benji04.htm,3817362,,97,,0,0,0,0,,http://www.imdb.com/title/tt0315273/,Mul.,3817362,877,1512000,877,0,1,matched (3),,,master only (1),2,matched (3),49,113.3,4.6999998,9.3844004,matched (3),Benji: Off the Leash!,0,0,0,0,0,"August 20, 2004","December 2, 2004",10
61,2004,95,Twisted,http://www.boxofficemojo.com/movies/?id=twisted.htm,25198598,15756005,97,50000000,1,0,1,0,,http://www.imdb.com/title/tt0315297/,Par.,25198598,2704,8904299,2703,0,2,matched (3),0,1,matched (3),4,matched (3),26,168.60001,5.3000002,3.39938,matched (3),Twisted - Der erste Verdacht,0,0,0,0,0,"February 27, 2004","May 27, 2004",10
62,2004,156,The Big Bounce,http://www.boxofficemojo.com/movies/?id=bigbounce.htm,6489476,319074,108,,1,0,0,0,,http://www.imdb.com/title/tt0315824/,WB,6489476,2304,3336374,2304,0,1,matched (3),,,master only (1),2,matched (3),42,545.90002,4.9000001,3.5911901,matched (3),The Big Bounce,0,0,0,0,0,"January 30, 2004","March 18, 2004",10
63,2004,2,Spider-Man 2,http://www.boxofficemojo.com/movies/?id=spiderman2.htm,373585825,410180516,127,200000000,1,0,0,0,,http://www.imdb.com/title/tt0316654/,Sony,373585825,4166,88156227,4152,0,1,matched (3),1,160,matched (3),3,matched (3),83,115.2,7.3000002,2.8624899,matched (3),Spider-Man 2,0,0,0,0,0,"June 30, 2004","December 19, 2004",10
64,2004,79,Taxi,http://www.boxofficemojo.com/movies/?id=taxi.htm,36611066,32284369,97,25000000,1,0,0,0,,http://www.imdb.com/title/tt0316732/,Fox,36611066,3001,12029832,3001,0,2,matched (3),0,27,matched (3),4,matched (3),27,169.5,4.5,5.9482498,matched (3),Taxi,0,1,1,1,1,"October 6, 2004","February 24, 2005",10
65,2005,84,Because of Winn-Dixie,http://www.boxofficemojo.com/movies/?id=winndixie.htm,32647042,942385,106,14000000,1,0,0,0,,http://www.imdb.com/title/tt0317132/,Fox,32647042,3188,10208431,3188,0,1,matched (3),0,1,matched (3),3,matched (3),54,238.5,6.4000001,4.8351998,matched (3),Because of Winn-Dixie,0,1,1,0,0,"February 18, 2005","June 23, 2005",10
66,2004,74,Bridget Jones: The Edge of Reason,http://www.boxofficemojo.com/movies/?id=bridgetjones2.htm,40226215,222294509,108,40000000,1,0,1,0,,http://www.imdb.com/title/tt0317198/,Uni.,40226215,2473,8684055,530,1,5,matched (3),1,10,matched (3),3,matched (3),44,285.29999,6,3.4990001,matched (3),Bridget Jones: The Edge of Reason,,,,,0,"November 12, 2004","January 20, 2005",10
67,2006,3,Cars,http://www.boxofficemojo.com/movies/?id=cars.htm,244082982,217900167,116,120000000,1,1,0,0,,http://www.imdb.com/title/tt0317219/,BV,244082982,3988,60119509,3985,0,1,matched (3),1,80,matched (3),5,matched (3),73,243.2,7.0999999,2.72559,matched (3),Cars,0,0,0,0,1,"June 9, 2006","October 19, 2006",10
68,2004,42,Hidalgo,http://www.boxofficemojo.com/movies/?id=hidalgo.htm,67303450,40800000,136,100000000,1,0,0,0,,http://www.imdb.com/title/tt0317648/,BV,67303450,3065,18829435,3063,0,2,matched (3),0,4,matched (3),3,matched (3),54,127.5,6.6999998,2.7848001,matched (3),Hidalgo,0,0,0,0,0,"March 5, 2004","July 22, 2004",10
69,2004,5,The Incredibles,http://www.boxofficemojo.com/movies/?id=incredibles.htm,261441092,370001000,115,92000000,1,0,0,0,,http://www.imdb.com/title/tt0317705/,BV,261441092,3933,70467623,3933,0,1,matched (3),1,141,matched (3),4,matched (3),90,100,8,2.395,matched (3),The Incredibles,0,0,0,0,0,"November 5, 2004","April 14, 2005",10
70,2006,14,Mission: Impossible III,http://www.boxofficemojo.com/movies/?id=mi3.htm,134029801,263820211,126,150000000,1,0,0,0,,http://www.imdb.com/title/tt0317919/,Par.,134029801,4059,47743273,4054,0,3,matched (3),0,52,matched (3),3,matched (3),66,89.699997,6.9000001,2.4660001,matched (3),Mission: Impossible III,0,0,0,0,0,"May 5, 2006","July 20, 2006",10
71,2005,189,A Sound of Thunder,http://www.boxofficemojo.com/movies/?id=soundofthunder.htm,1900451,9765014,103,80000000,1,0,0,0,,http://www.imdb.com/title/tt0318081/,WB,1900451,816,917398,816,0,4,matched (3),0,3,matched (3),5,matched (3),24,299.79999,4.1999998,5.4821601,matched (3),A Sound of Thunder,0,0,0,0,0,"September 2, 2005","October 6, 2005",10
72,2004,117,The Motorcycle Diaries,http://www.boxofficemojo.com/movies/?id=motorcyclediaries.htm,16781387,40881837,126,,0,0,1,0,,http://www.imdb.com/title/tt0318462/,Focus,16781387,272,159819,3,1,8,matched (3),1,85,matched (3),3,matched (3),75,205.8,7.8000002,2.372,matched (3),The Motorcycle Diaries,0,0,0,0,0,"September 24, 2004","February 17, 2005",10
