,year,bomrank,bomtitle,bomlink,domesticgross,foreigngross,runtimemin,productionbudget,majordistributor,grated,rrated,unrated,remove,imdblink,studio,totalusgross,totaltheater,openingusgross,openingtheaters,foreigndm,languagecount,_merge2,qualityfilm,countaward,_merge3,genrespanning,_merge4,criticratings_avg,criticrating_var,user_avg,user_var,_merge5,imdbfilmtitle,avg_minority_gender,avg_minority_race,avg_minority,avg_minority_1,multidirector,releasedate,closedate,numberofcritics
1194,2015,58,Poltergeist (2015),http://www.boxofficemojo.com/movies/?id=poltergeist2015.htm,47425125,48012869,93,35000000,1,0,0,0,,http://www.imdb.com/title/tt1029360/,Fox,47425125,3242,22620386,3240,0,1,matched (3),0,5,matched (3),2,matched (3),47,229.10001,4.9000001,4.3955998,matched (3),Poltergeist,0,0,0,0,1,"May 22, 2015","August 6, 2015",10
1195,2008,164,The Rocker,http://www.boxofficemojo.com/movies/?id=rocker.htm,6409528,2357810,102,15000000,1,0,0,0,,http://www.imdb.com/title/tt1031969/,Fox,6409528,2784,2636048,2784,0,1,matched (3),,,master only (1),2,matched (3),53,168.8,6.1999998,3.2932,matched (3),The Rocker,0,0,0,0,0,"August 20, 2008","October 16, 2008",10
1196,2010,148,The Warrior's Way,http://www.boxofficemojo.com/movies/?id=warriorsway.htm,5666340,5421229,100,42000000,0,0,1,0,,http://www.imdb.com/title/tt1032751/,Rela.,5666340,1622,3048665,1622,1,2,matched (3),,,master only (1),3,matched (3),45,246.8,6.3000002,3.95351,matched (3),The Warrior's Way,,,,,0,"December 3, 2010","February 3, 2011",10
1197,2008,168,RockNRolla,http://www.boxofficemojo.com/movies/?id=rocknrolla.htm,5700626,20038389,114,,1,0,1,0,,http://www.imdb.com/title/tt1032755/,WB,5700626,826,144701,7,1,3,matched (3),0,5,matched (3),3,matched (3),53,479.20001,7.3000002,2.5127101,matched (3),RocknRolla,0,0,0,0,0,"October 8, 2008","December 25, 2008",10
1198,2009,126,I Love You Beth Cooper,http://www.boxofficemojo.com/movies/?id=iloveyoubethcooper.htm,14800725,1021182,102,18000000,1,0,0,0,,http://www.imdb.com/title/tt1032815/,Fox,14800725,1872,4919433,1858,0,2,matched (3),0,2,matched (3),2,matched (3),32,419.89999,5.3000002,4.7284002,matched (3),"I Love You, Beth Cooper",0,0,0,0,0,"July 10, 2009","October 1, 2009",10
1199,2008,188,The Band's Visit,http://www.boxofficemojo.com/movies/?id=bandsvisit.htm,3054457,11501427,85,,1,0,0,0,,http://www.imdb.com/title/tt1032856/,SPC,3054457,121,67492,7,1,3,matched (3),1,63,matched (3),4,matched (3),80,92.800003,7.5999999,2.4726,matched (3),La visite de la fanfare,,,,,0,"February 8, 2008","July 10, 2008",10
1200,2011,39,The Descendants,http://www.boxofficemojo.com/movies/?id=descendents.htm,82584160,94659025,115,,1,0,1,0,,http://www.imdb.com/title/tt1033575/,FoxS,82584160,2038,1190096,29,0,1,matched (3),1,341,matched (3),2,matched (3),84,207.3,7.3000002,2.2507999,matched (3),The Descendants,0,0,0,0,0,"November 16, 2011","April 19, 2012",10
1201,2008,37,What Happens in Vegas,http://www.boxofficemojo.com/movies/?id=whathappensinvegas.htm,80277646,139098151,99,35000000,1,0,0,0,,http://www.imdb.com/title/tt1033643/,Fox,80277646,3255,20172474,3215,0,1,matched (3),0,6,matched (3),2,matched (3),36,519.90002,6.0999999,3.4863999,matched (3),What Happens in Vegas,0,0,0,0,0,"May 9, 2008","September 18, 2008",10
1202,2009,109,Gamer,http://www.boxofficemojo.com/movies/?id=game09.htm,20534907,20293633,95,,0,0,1,0,,http://www.imdb.com/title/tt1034032/,LGF,20534907,2502,9156057,2502,0,1,matched (3),,,master only (1),3,matched (3),27,164.5,5.8000002,3.7284,matched (3),Gamer,0,0,0,0,1,"September 4, 2009","October 8, 2009",10
1203,2008,100,Defiance,http://www.boxofficemojo.com/movies/?id=defiance.htm,28644813,22510406,137,32000000,0,0,1,0,,http://www.imdb.com/title/tt1034303/,ParV,28644813,1793,123513,2,0,1,matched (3),1,10,matched (3),5,matched (3),58,144.3,7.1999998,2.4244399,matched (3),Defiance,0,0,0,0,1,"December 31, 2008","April 30, 2009",10
1204,2011,183,The Mighty Macs,http://www.boxofficemojo.com/movies/?id=mightymacs.htm,1891936,,102,7000000,0,1,0,0,,http://www.imdb.com/title/tt1034324/,QM,1891936,975,963221,975,0,1,matched (3),,,master only (1),2,matched (3),49,273.89999,6.5,5.224,matched (3),The Mighty Macs,0,0,0,0,0,"October 21, 2011","December 1, 2011",10
1205,2008,71,Righteous Kill,http://www.boxofficemojo.com/movies/?id=righteouskill.htm,40081410,38379289,101,60000000,0,0,1,0,,http://www.imdb.com/title/tt1034331/,Over.,40081410,3152,16288361,3152,0,1,matched (3),0,7,matched (3),5,matched (3),36,143.8,6,3.3399999,matched (3),Righteous Kill,0,0,0,0,0,"September 12, 2008",,10
1206,2011,120,The Eagle,http://www.boxofficemojo.com/movies/?id=eagleoftheninth.htm,19490041,7631999,114,25000000,0,0,0,0,,http://www.imdb.com/title/tt1034389/,Focus,19490041,2296,8684464,2296,0,2,matched (3),0,1,matched (3),4,matched (3),55,272.79999,6.1999998,2.85656,matched (3),The Eagle,0,0,0,0,1,"February 11, 2011","April 7, 2011",10
