,Unnamed: 0,year,bomrank,bomtitle,bomlink,domesticgross,foreigngross,runtimemin,productionbudget,majordistributor,grated,rrated,unrated,remove,imdblink,studio,totalusgross,totaltheater,openingusgross,openingtheaters,foreigndm,languagecount,_merge2,qualityfilm,countaward,_merge3,genrespanning,_merge4,criticratings_avg,criticrating_var,user_avg,user_var,_merge5,imdbfilmtitle,avg_minority_gender,avg_minority_race,avg_minority,avg_minority_1,multidirector,releasedate,closedate,numberofcritics,year_week_average_gross,year_week_average_totalmovies
431,431,2005,136,The New World,http://www.boxofficemojo.com/movies/?id=newworld.htm,12712093,17823920.0,150.0,30000000.0,0,0,0,0,,http://www.imdb.com/title/tt0402399/,NL,12712093,811,30864.0,3.0,0.0,2.0,matched (3),1.0,33.0,matched (3),4.0,matched (3),69.0,252.5,6.6999998,4.918089900000001,matched (3),The New World,0.0,0.0,0.0,0.0,0,2005-12-25,2006-04-02,10,160765568.0,94.333336
432,432,2005,139,Casanova,http://www.boxofficemojo.com/movies/?id=casanova.htm,11304403,26387241.0,112.0,,1,0,1,0,,http://www.imdb.com/title/tt0402894/,BV,11304403,1011,119276.0,37.0,0.0,1.0,matched (3),0.0,7.0,matched (3),4.0,matched (3),57.0,239.7,6.5,3.0225,matched (3),Casanova,0.0,0.0,0.0,0.0,1,2005-12-25,2006-04-20,10,160765568.0,94.333336
433,433,2005,133,The Cave,http://www.boxofficemojo.com/movies/?id=cave.htm,15007991,18288466.0,97.0,,1,0,0,0,,http://www.imdb.com/title/tt0402901/,SGem,15007991,2195,6147294.0,2195.0,0.0,3.0,matched (3),,,master only (1),3.0,matched (3),30.0,335.29999,5.0999999,4.00001,matched (3),The Cave,0.0,0.0,0.0,0.0,0,2005-08-26,2005-10-02,10,160765568.0,94.333336
434,434,2005,180,Supercross,http://www.boxofficemojo.com/movies/?id=supercross.htm,3102550,241881.0,92.0,,1,0,0,0,,http://www.imdb.com/title/tt0403016/,Fox,3102550,1621,1330520.0,1621.0,0.0,1.0,matched (3),,,master only (1),4.0,matched (3),26.0,168.60001,4.1999998,9.1086397,matched (3),Supercross,0.0,0.0,0.0,0.0,0,2005-08-17,2005-09-29,10,160765568.0,94.333336
435,435,2005,122,Roll Bounce,http://www.boxofficemojo.com/movies/?id=rollbounce.htm,17380866,120000.0,112.0,,1,0,0,0,,http://www.imdb.com/title/tt0403455/,FoxS,17380866,1661,7570366.0,1625.0,0.0,1.0,matched (3),0.0,8.0,matched (3),4.0,matched (3),59.0,217.5,6.0999999,6.602399799999999,matched (3),Roll Bounce,0.0,1.0,1.0,1.0,0,2005-09-23,2006-01-05,10,160765568.0,94.333336
436,436,2005,71,The Sisterhood of the Traveling Pants,http://www.boxofficemojo.com/movies/?id=travelingpants.htm,39053061,2960817.0,119.0,25000000.0,1,0,0,0,,http://www.imdb.com/title/tt0403508/,WB,39053061,2583,9833340.0,2583.0,0.0,1.0,matched (3),0.0,15.0,matched (3),4.0,matched (3),66.0,162.5,6.5,4.217999900000001,matched (3),The Sisterhood of the Traveling Pants,0.0,0.0,0.0,0.0,0,2005-06-01,2005-09-15,10,160765568.0,94.333336
437,437,2005,193,State Property 2,http://www.boxofficemojo.com/movies/?id=stateproperty2.htm,1691706,,94.0,,0,0,1,0,,http://www.imdb.com/title/tt0403537/,Lions,1691706,202,756905.0,202.0,0.0,1.0,matched (3),0.0,1.0,matched (3),4.0,matched (3),33.0,265.0,4.5999999,8.796600300000001,matched (3),State Property: Blood on the Streets,0.0,1.0,1.0,1.0,0,2005-04-13,2005-05-05,10,160765568.0,94.333336
438,438,2010,124,Youth in Revolt,http://www.boxofficemojo.com/movies/?id=youthinrevolt.htm,15281286,4369807.0,90.0,18000000.0,0,0,1,0,,http://www.imdb.com/title/tt0403702/,W/Dim.,15281286,1873,6888334.0,1873.0,0.0,1.0,matched (3),0.0,1.0,matched (3),3.0,matched (3),63.0,203.2,6.5,2.8255,matched (3),Youth in Revolt,0.0,1.0,1.0,0.0,0,2010-01-08,2010-03-25,10,160765568.0,94.333336
439,439,2004,108,Yu-Gi-Oh! The Movie,http://www.boxofficemojo.com/movies/?id=yugioh.htm,19765868,9404542.0,90.0,,1,0,0,0,,http://www.imdb.com/title/tt0403703/,WB,19765868,2411,9485494.0,2411.0,1.0,2.0,matched (3),,,master only (1),6.0,matched (3),15.0,213.3,4.6999998,10.08671,matched (3),Yu-Gi-Oh!: The Movie,,,,,0,2004-08-13,2004-11-03,10,160765568.0,94.333336
440,440,2005,192,Everything Is Illuminated,http://www.boxofficemojo.com/movies/?id=everythingisilluminated.htm,1712337,1889637.0,100.0,,1,0,0,0,,http://www.imdb.com/title/tt0404030/,WIP,1712337,110,66806.0,6.0,0.0,1.0,matched (3),1.0,11.0,matched (3),2.0,matched (3),58.0,168.2,7.5,2.6240001,matched (3),Everything Is Illuminated,0.0,0.0,0.0,0.0,0,2005-09-16,2005-12-01,10,160765568.0,94.333336
441,441,2005,30,The Exorcism of Emily Rose,http://www.boxofficemojo.com/movies/?id=exorcismofemilyrose.htm,75072454,69144014.0,114.0,19000000.0,1,0,0,0,,http://www.imdb.com/title/tt0404032/,SGem,75072454,3045,30054300.0,2981.0,0.0,1.0,matched (3),0.0,12.0,matched (3),3.0,matched (3),46.0,310.29999,6.6999998,3.1908901000000003,matched (3),The Exorcism of Emily Rose,0.0,0.0,0.0,0.0,0,2005-09-09,2005-11-06,10,160765568.0,94.333336
442,442,2006,180,Little Children,http://www.boxofficemojo.com/movies/?id=littlechildren.htm,5463019,9358639.0,130.0,26000000.0,0,0,1,0,,http://www.imdb.com/title/tt0404203/,NL,5463019,115,97953.0,5.0,0.0,1.0,matched (3),1.0,96.0,matched (3),2.0,matched (3),75.0,356.89999,7.5,2.45175,matched (3),Little Children,0.0,0.0,0.0,0.0,0,2006-10-06,2007-04-12,10,160765568.0,94.333336
443,443,2006,174,Running Scared,http://www.boxofficemojo.com/movies/?id=runningscared05.htm,6855137,2524892.0,110.0,15000000.0,0,0,1,0,,http://www.imdb.com/title/tt0404390/,NL,6855137,1611,3381974.0,1611.0,0.0,2.0,matched (3),0.0,4.0,matched (3),4.0,matched (3),41.0,323.79999,7.400000099999999,3.0736401,matched (3),Running Scared,0.0,0.0,0.0,0.0,1,2006-02-24,2006-04-02,10,160765568.0,94.333336
444,444,2007,140,The Lives of Others,http://www.boxofficemojo.com/movies/?id=livesofothers.htm,11286112,66070830.0,137.0,2000000.0,1,0,1,0,,http://www.imdb.com/title/tt0405094/,SPC,11286112,259,213589.0,9.0,1.0,1.0,matched (3),1.0,120.0,matched (3),2.0,matched (3),89.0,217.0,8.3999996,2.28016,matched (3),The Lives of Others,0.0,0.0,0.0,0.0,0,2007-02-09,2007-09-13,10,160765568.0,94.333336
445,445,2004,24,Million Dollar Baby,http://www.boxofficemojo.com/movies/?id=milliondollarbaby.htm,100492203,116271443.0,137.0,30000000.0,1,0,0,0,,http://www.imdb.com/title/tt0405159/,WB,100492203,2375,179953.0,8.0,0.0,1.0,matched (3),1.0,190.0,matched (3),2.0,matched (3),86.0,141.60001,8.1000004,2.4388101000000004,matched (3),Million Dollar Baby,0.0,0.0,0.0,0.0,0,2004-12-15,2005-06-30,10,160765568.0,94.333336
446,446,2006,179,A Scanner Darkly,http://www.boxofficemojo.com/movies/?id=scannerdarkly.htm,5501616,2158302.0,100.0,,1,0,1,0,,http://www.imdb.com/title/tt0405296/,WIP,5501616,263,391672.0,17.0,0.0,1.0,matched (3),1.0,26.0,matched (3),5.0,matched (3),73.0,238.2,7.099999900000001,3.0868101,matched (3),A Scanner Darkly,0.0,0.0,0.0,0.0,0,2006-07-07,2006-10-12,10,160765568.0,94.333336
447,447,2005,39,Sky High,http://www.boxofficemojo.com/movies/?id=skyhigh.htm,63946815,22423000.0,102.0,35000000.0,1,0,0,0,,http://www.imdb.com/title/tt0405325/,BV,63946815,2912,14631784.0,2905.0,0.0,1.0,matched (3),,,master only (1),4.0,matched (3),62.0,197.5,6.1999998,3.747,matched (3),Sky High,0.0,0.0,0.0,0.0,0,2005-07-29,2005-12-01,10,160765568.0,94.333336
448,448,2009,178,Rudo Y Cursi,http://www.boxofficemojo.com/movies/?id=rudoycursi.htm,1827660,9341572.0,90.0,,1,0,1,0,,http://www.imdb.com/title/tt0405393/,SPC,1827660,219,211460.0,70.0,1.0,2.0,matched (3),0.0,14.0,matched (3),3.0,matched (3),67.0,82.199997,6.6999998,4.4918199,matched (3),Rudo y Cursi,,,,,0,2009-05-08,2009-08-27,10,160765568.0,94.333336
449,449,2005,19,The 40-Year-Old Virgin,http://www.boxofficemojo.com/movies/?id=40yearoldvirgin.htm,109449237,67929408.0,116.0,26000000.0,1,0,1,0,,http://www.imdb.com/title/tt0405422/,Uni.,109449237,3006,21422815.0,2845.0,0.0,1.0,matched (3),1.0,36.0,matched (3),2.0,matched (3),73.0,241.60001,7.099999900000001,2.8123901,matched (3),The 40-Year-Old Virgin,0.0,0.0,0.0,0.0,0,2005-08-19,2005-12-15,10,160765568.0,94.333336
450,450,2006,84,The Wild,http://www.boxofficemojo.com/movies/?id=wild.htm,37384046,64954469.0,94.0,80000000.0,1,1,0,0,,http://www.imdb.com/title/tt0405469/,BV,37384046,2854,9684809.0,2854.0,0.0,2.0,matched (3),0.0,2.0,matched (3),4.0,matched (3),47.0,280.39999,5.3000002,4.4143099999999995,matched (3),The Wild,0.0,0.0,0.0,0.0,0,2006-04-14,2006-08-17,10,160765568.0,94.333336
