,Columns are already created in the csv file at the rightest side,imdbcrewcastlink,year,imdbfilmtitle,role,imdbfilmlink,bomtitle,bomlink,starpower-director,name_id,releasedate,prior10weeksDate
0,Victor Fleming,http://www.imdb.com/name/nm0281808/,1939,The Wizard of Oz,Director,http://www.imdb.com/title/tt0032138/,The Wizard of Oz (3D/IMAX),http://www.boxofficemojo.com/movies/?id=wizardofozimax.htm,15178,nm0281808,9/20/2013,7/12/2013
1,Gene Kelly,http://www.imdb.com/name/nm0000037/,1952,Singin' in the Rain,Director,http://www.imdb.com/title/tt0045152/,Singin' In the Rain (2012 re-release),http://www.boxofficemojo.com/movies/?id=singinintherain2012.htm,2609,nm0000037,7/12/2012,5/3/2012
2,Stanley Donen,http://www.imdb.com/name/nm0002045/,1952,Singin' in the Rain,Director,http://www.imdb.com/title/tt0045152/,Singin' In the Rain (2012 re-release),http://www.boxofficemojo.com/movies/?id=singinintherain2012.htm,11546,nm0002045,7/12/2012,5/3/2012
3,Steven Spielberg,http://www.imdb.com/name/nm0000229/,1981,Raiders of the Lost Ark,Director,http://www.imdb.com/title/tt0082971/,Raiders of the Lost Ark (IMAX),http://www.boxofficemojo.com/movies/?id=raidersimax.htm,268,nm0000229,9/7/2012,6/29/2012
4,Ivan Reitman,http://www.imdb.com/name/nm0718645/,1984,Ghostbusters,Director,http://www.imdb.com/title/tt0087332/,Ghostbusters (30th Anniversary re-release),http://www.boxofficemojo.com/movies/?id=ghostbusters2014.htm,4959,nm0718645,8/29/2014,6/20/2014
5,Robert Zemeckis,http://www.imdb.com/name/nm0000709/,1985,Back to the Future,Director,http://www.imdb.com/title/tt0088763/,Back to the Future Day,http://www.boxofficemojo.com/movies/?id=backtothefutureday.htm,2520,nm0000709,10/21/2015,8/12/2015
6,Tony Scott,http://www.imdb.com/name/nm0001716/,1986,Top Gun,Director,http://www.imdb.com/title/tt0092099/,Top Gun 3D,http://www.boxofficemojo.com/movies/?id=topgun3d.htm,1919,nm0001716,2/8/2013,11/30/2012
7,Kirk Wise,http://www.imdb.com/name/nm0936374/,1991,Beauty and the Beast,Director,http://www.imdb.com/title/tt0101414/,Beauty and the Beast (3D),http://www.boxofficemojo.com/movies/?id=beautyandthebeast3d.htm,35295,nm0936374,1/13/2012,11/4/2011
8,Gary Trousdale,http://www.imdb.com/name/nm0873779/,1991,Beauty and the Beast,Director,http://www.imdb.com/title/tt0101414/,Beauty and the Beast (3D),http://www.boxofficemojo.com/movies/?id=beautyandthebeast3d.htm,25750,nm0873779,1/13/2012,11/4/2011
9,Steven Spielberg,http://www.imdb.com/name/nm0000229/,1993,Jurassic Park,Director,http://www.imdb.com/title/tt0107290/,Jurassic Park 3D,http://www.boxofficemojo.com/movies/?id=jurassicpark3d.htm,133,nm0000229,4/5/2013,1/25/2013
10,Henry Selick,http://www.imdb.com/name/nm0783139/,1993,The Nightmare Before Christmas,Director,http://www.imdb.com/title/tt0107688/,Tim Burton's The Nightmare Before Christmas in 3-D (2006),http://www.boxofficemojo.com/movies/?id=3d06.htm,14131,nm0783139,10/20/2006,8/11/2006
11,Rob Minkoff,http://www.imdb.com/name/nm0591450/,1994,The Lion King,Director,http://www.imdb.com/title/tt0110357/,The Lion King (in 3D),http://www.boxofficemojo.com/movies/?id=lionking3d.htm,15919,nm0591450,9/16/2011,7/8/2011
12,Roger Allers,http://www.imdb.com/name/nm0021249/,1994,The Lion King,Director,http://www.imdb.com/title/tt0110357/,The Lion King (in 3D),http://www.boxofficemojo.com/movies/?id=lionking3d.htm,23053,nm0021249,9/16/2011,7/8/2011
13,James Cameron,http://www.imdb.com/name/nm0000116/,1997,Titanic,Director,http://www.imdb.com/title/tt0120338/,Titanic 3D,http://www.boxofficemojo.com/movies/?id=titanic3d.htm,515,nm0000116,4/4/2012,1/25/2012
14,Tim Story,http://www.imdb.com/name/nm4588077/,2005,Fantastic Four,Director,http://www.imdb.com/title/tt0120667/,Fantastic Four (2005),http://www.boxofficemojo.com/movies/?id=fantasticfour.htm,3665,nm4588077,7/8/2005,4/29/2005
15,Tim Story,http://www.imdb.com/name/nm1103162/,2005,Fantastic Four,Director,http://www.imdb.com/title/tt0120667/,Fantastic Four (2005),http://www.boxofficemojo.com/movies/?id=fantasticfour.htm,3665,nm1103162,7/8/2005,4/29/2005
16,George Lucas,http://www.imdb.com/name/nm0000184/,1999,Star Wars: Episode I - The Phantom Menace,Director,http://www.imdb.com/title/tt0120915/,Star Wars: Episode I - The Phantom Menace (in 3D),http://www.boxofficemojo.com/movies/?id=starwars3d.htm,1267,nm0000184,2/10/2012,12/2/2011
17,Mike Johnson,http://www.imdb.com/name/nm0425843/,2005,Corpse Bride,Director,http://www.imdb.com/title/tt0121164/,Tim Burton's Corpse Bride,http://www.boxofficemojo.com/movies/?id=corpsebride.htm,9584,nm0425843,9/16/2005,7/8/2005
18,Tim Burton,http://www.imdb.com/name/nm0000318/,2005,Corpse Bride,Director,http://www.imdb.com/title/tt0121164/,Tim Burton's Corpse Bride,http://www.boxofficemojo.com/movies/?id=corpsebride.htm,63,nm0000318,9/16/2005,7/8/2005
19,George Lucas,http://www.imdb.com/name/nm0000184/,2005,Star Wars: Episode III - Revenge of the Sith,Director,http://www.imdb.com/title/tt0121766/,Star Wars: Episode III - Revenge of the Sith,http://www.boxofficemojo.com/movies/?id=starwars3.htm,316,nm0000184,5/19/2005,3/10/2005
20,Guillermo del Toro,http://www.imdb.com/name/nm0868219/,2004,Hellboy,Director,http://www.imdb.com/title/tt0167190/,Hellboy,http://www.boxofficemojo.com/movies/?id=hellboy.htm,2053,nm0868219,4/2/2004,1/23/2004
21,Jonathan Frakes,http://www.imdb.com/name/nm0000408/,2004,Thunderbirds,Director,http://www.imdb.com/title/tt0167456/,Thunderbirds,http://www.boxofficemojo.com/movies/?id=thunderbirds.htm,1722,nm0000408,7/30/2004,5/21/2004
22,Lee Unkrich,http://www.imdb.com/name/nm0881279/,2001,"Monsters, Inc.",Director,http://www.imdb.com/title/tt0198781/,"Monsters, Inc. (3D)",http://www.boxofficemojo.com/movies/?id=monstersinc3d.htm,12755,nm0881279,12/19/2012,10/10/2012
23,Pete Docter,http://www.imdb.com/name/nm0230032/,2001,"Monsters, Inc.",Director,http://www.imdb.com/title/tt0198781/,"Monsters, Inc. (3D)",http://www.boxofficemojo.com/movies/?id=monstersinc3d.htm,12891,nm0230032,12/19/2012,10/10/2012
24,David Silverman,http://www.imdb.com/name/nm0798899/,2001,"Monsters, Inc.",Director,http://www.imdb.com/title/tt0198781/,"Monsters, Inc. (3D)",http://www.boxofficemojo.com/movies/?id=monstersinc3d.htm,25955,nm0798899,12/19/2012,10/10/2012
25,Roger Donaldson,http://www.imdb.com/name/nm0002044/,2008,The Bank Job,Director,http://www.imdb.com/title/tt0200465/,The Bank Job,http://www.boxofficemojo.com/movies/?id=bankjob.htm,8568,nm0002044,3/7/2008,12/28/2007
26,Renny Harlin,http://www.imdb.com/name/nm0001317/,2004,Exorcist: The Beginning,Director,http://www.imdb.com/title/tt0204313/,Exorcist: The Beginning,http://www.boxofficemojo.com/movies/?id=exorcist4.htm,1487,nm0001317,8/20/2004,6/11/2004
27,Alfonso Cuarón,http://www.imdb.com/name/nm0190859/,2006,Children of Men,Director,http://www.imdb.com/title/tt0206634/,Children of Men,http://www.boxofficemojo.com/movies/?id=childrenofmen.htm,1805,nm0190859,12/25/2006,10/16/2006
28,Joby Harold,http://www.imdb.com/name/nm1703612/,2007,Awake,Director,http://www.imdb.com/title/tt0211933/,Awake,http://www.boxofficemojo.com/movies/?id=awake.htm,43360,nm1703612,11/30/2007,9/21/2007
29,Kar-Wai Wong,http://www.imdb.com/name/nm0939182/,2004,2046,Director,http://www.imdb.com/title/tt0212712/,2046,http://www.boxofficemojo.com/movies/?id=2046.htm,1586,nm0939182,8/5/2005,5/27/2005
30,Deepa Mehta,http://www.imdb.com/name/nm0576548/,2005,Water,Director,http://www.imdb.com/title/tt0240200/,Water,http://www.boxofficemojo.com/movies/?id=water06.htm,7936,nm0576548,4/28/2006,2/17/2006
31,Mira Nair,http://www.imdb.com/name/nm0619762/,2004,Vanity Fair,Director,http://www.imdb.com/title/tt0241025/,Vanity Fair,http://www.boxofficemojo.com/movies/?id=vanityfair.htm,3749,nm0619762,9/1/2004,6/23/2004
32,Mike Mitchell,http://www.imdb.com/name/nm0593610/,2004,Surviving Christmas,Director,http://www.imdb.com/title/tt0252028/,Surviving Christmas,http://www.boxofficemojo.com/movies/?id=survivingchristmas.htm,9323,nm0593610,10/22/2004,8/13/2004
33,Wes Craven,http://www.imdb.com/name/nm0000127/,2005,Cursed,Director,http://www.imdb.com/title/tt0257516/,Cursed,http://www.boxofficemojo.com/movies/?id=cursed.htm,1893,nm0000127,2/25/2005,12/17/2004
34,Mark Steven Johnson,http://www.imdb.com/name/nm0425756/,2007,Ghost Rider,Director,http://www.imdb.com/title/tt0259324/,Ghost Rider,http://www.boxofficemojo.com/movies/?id=ghostrider.htm,5881,nm0425756,2/16/2007,12/8/2006
35,Luke Greenfield,http://www.imdb.com/name/nm0339004/,2004,The Girl Next Door,Director,http://www.imdb.com/title/tt0265208/,The Girl Next Door,http://www.boxofficemojo.com/movies/?id=girlnextdoor.htm,5394,nm0339004,4/9/2004,1/30/2004
36,Lee Unkrich,http://www.imdb.com/name/nm0881279/,2003,Finding Nemo,Director,http://www.imdb.com/title/tt0266543/,Finding Nemo (3D),http://www.boxofficemojo.com/movies/?id=findingnemo3d.htm,15484,nm0881279,9/14/2012,7/6/2012
37,Andrew Stanton,http://www.imdb.com/name/nm0004056/,2003,Finding Nemo,Director,http://www.imdb.com/title/tt0266543/,Finding Nemo (3D),http://www.boxofficemojo.com/movies/?id=findingnemo3d.htm,2968,nm0004056,9/14/2012,7/6/2012
38,Barry W. Blaustein,http://www.imdb.com/name/nm0087904/,2005,The Ringer,Director,http://www.imdb.com/title/tt0267891/,The Ringer,http://www.boxofficemojo.com/movies/?id=ringer.htm,20364,nm0087904,12/23/2005,10/14/2005
39,Bob Clark,http://www.imdb.com/name/nm0163706/,2004,Superbabies: Baby Geniuses 2,Director,http://www.imdb.com/title/tt0270846/,Super Babies: Baby Geniuses 2,http://www.boxofficemojo.com/movies/?id=babygeniuses2.htm,7625,nm0163706,8/27/2004,6/18/2004
40,Jaume Balagueró,http://www.imdb.com/name/nm0049371/,2002,Darkness,Director,http://www.imdb.com/title/tt0273517/,Darkness,http://www.boxofficemojo.com/movies/?id=darkness.htm,17972,nm0049371,12/25/2004,10/16/2004
41,Pedro Almodóvar,http://www.imdb.com/name/nm0000264/,2004,Bad Education,Director,http://www.imdb.com/title/tt0275491/,Bad Education,http://www.boxofficemojo.com/movies/?id=badeducation.htm,853,nm0000264,11/19/2004,9/10/2004
42,Leonardo Defilippis,http://www.imdb.com/name/nm0991612/,2004,Thérèse: The Story of Saint Thérèse of Lisieux,Director,http://www.imdb.com/title/tt0286218/,Therese: The Story of Saint Therese of Lisieux,http://www.boxofficemojo.com/movies/?id=therese.htm,63164,nm0991612,10/1/2004,7/23/2004
43,Eric Bress,http://www.imdb.com/name/nm0107774/,2004,The Butterfly Effect,Director,http://www.imdb.com/title/tt0289879/,The Butterfly Effect,http://www.boxofficemojo.com/movies/?id=butterflyeffect.htm,11866,nm0107774,1/23/2004,11/14/2003
44,J. Mackye Gruber,http://www.imdb.com/name/nm0344259/,2004,The Butterfly Effect,Director,http://www.imdb.com/title/tt0289879/,The Butterfly Effect,http://www.boxofficemojo.com/movies/?id=butterflyeffect.htm,13604,nm0344259,1/23/2004,11/14/2003
45,Jay Roach,http://www.imdb.com/name/nm0005366/,2004,Meet the Fockers,Director,http://www.imdb.com/title/tt0290002/,Meet the Fockers,http://www.boxofficemojo.com/movies/?id=meetthefockers.htm,4839,nm0005366,12/22/2004,10/13/2004
46,Christopher Scott Cherot,http://www.imdb.com/name/nm0156017/,2002,G,Director,http://www.imdb.com/title/tt0291928/,G,http://www.boxofficemojo.com/movies/?id=g.htm,35545,nm0156017,9/16/2005,7/8/2005
47,Sidney Lumet,http://www.imdb.com/name/nm0001486/,2007,Before the Devil Knows You're Dead,Director,http://www.imdb.com/title/tt0292963/,Before the Devil Knows You're Dead,http://www.boxofficemojo.com/movies/?id=beforethedevilknowsyouredead.htm,3226,nm0001486,10/26/2007,8/17/2007
48,Joel Schumacher,http://www.imdb.com/name/nm0001708/,2004,The Phantom of the Opera,Director,http://www.imdb.com/title/tt0293508/,The Phantom of the Opera,http://www.boxofficemojo.com/movies/?id=phantomoftheopera.htm,1573,nm0001708,12/22/2004,10/13/2004
49,Brett Ratner,http://www.imdb.com/name/nm0711840/,2007,Rush Hour 3,Director,http://www.imdb.com/title/tt0293564/,Rush Hour 3,http://www.boxofficemojo.com/movies/?id=rushhour3.htm,34,nm0711840,8/10/2007,6/1/2007
50,Chris Columbus,http://www.imdb.com/name/nm0001060/,2005,Rent,Director,http://www.imdb.com/title/tt0294870/,Rent,http://www.boxofficemojo.com/movies/?id=rent.htm,2554,nm0001060,11/23/2005,9/14/2005
51,David Twohy,http://www.imdb.com/name/nm0878638/,2004,The Chronicles of Riddick,Director,http://www.imdb.com/title/tt0296572/,The Chronicles of Riddick,http://www.boxofficemojo.com/movies/?id=chroniclesofriddick.htm,4294,nm0878638,6/11/2004,4/2/2004
52,Renny Harlin,http://www.imdb.com/name/nm0001317/,2004,Mindhunters,Director,http://www.imdb.com/title/tt0297284/,Mindhunters,http://www.boxofficemojo.com/movies/?id=mindhunters.htm,1964,nm0001317,5/13/2005,3/4/2005
53,Conrad Vernon,http://www.imdb.com/name/nm0970447/,2004,Shrek 2,Director,http://www.imdb.com/title/tt0298148/,Shrek 2,http://www.boxofficemojo.com/movies/?id=shrek2.htm,6963,nm0970447,5/19/2004,3/10/2004
54,Andrew Adamson,http://www.imdb.com/name/nm0011470/,2004,Shrek 2,Director,http://www.imdb.com/title/tt0298148/,Shrek 2,http://www.boxofficemojo.com/movies/?id=shrek2.htm,1936,nm0011470,5/19/2004,3/10/2004
55,Kelly Asbury,http://www.imdb.com/name/nm0038432/,2004,Shrek 2,Director,http://www.imdb.com/title/tt0298148/,Shrek 2,http://www.boxofficemojo.com/movies/?id=shrek2.htm,16376,nm0038432,5/19/2004,3/10/2004
56,Will Finn,http://www.imdb.com/name/nm0278181/,2004,Home on the Range,Director,http://www.imdb.com/title/tt0299172/,Home on the Range,http://www.boxofficemojo.com/movies/?id=homeontherange.htm,26769,nm0278181,4/2/2004,1/23/2004
57,John Sanford,http://www.imdb.com/name/nm0998551/,2004,Home on the Range,Director,http://www.imdb.com/title/tt0299172/,Home on the Range,http://www.boxofficemojo.com/movies/?id=homeontherange.htm,30451,nm0998551,4/2/2004,1/23/2004
58,Yimou Zhang,http://www.imdb.com/name/nm0955443/,2002,Hero,Director,http://www.imdb.com/title/tt0299977/,Hero,http://www.boxofficemojo.com/movies/?id=hero02.htm,2851,nm0955443,8/27/2004,6/18/2004
59,Kevin Smith,http://www.imdb.com/name/nm0003620/,2004,Jersey Girl,Director,http://www.imdb.com/title/tt0300051/,Jersey Girl,http://www.boxofficemojo.com/movies/?id=jerseygirl.htm,347,nm0003620,3/26/2004,1/16/2004
60,Wolfgang Becker,http://www.imdb.com/name/nm0065615/,2003,Good Bye Lenin!,Director,http://www.imdb.com/title/tt0301357/,"Good Bye, Lenin!",http://www.boxofficemojo.com/movies/?id=goodbyelenin.htm,8392,nm0065615,2/27/2004,12/19/2003
61,Alfonso Cuarón,http://www.imdb.com/name/nm0190859/,2004,Harry Potter and the Prisoner of Azkaban,Director,http://www.imdb.com/title/tt0304141/,Harry Potter and the Prisoner of Azkaban,http://www.boxofficemojo.com/movies/?id=harrypotter3.htm,1164,nm0190859,6/4/2004,3/26/2004
62,Vicky Jenson,http://www.imdb.com/name/nm0421776/,2004,Shark Tale,Director,http://www.imdb.com/title/tt0307453/,Shark Tale,http://www.boxofficemojo.com/movies/?id=sharktale.htm,13509,nm0421776,10/1/2004,7/23/2004
63,Bibo Bergeron,http://www.imdb.com/name/nm0074426/,2004,Shark Tale,Director,http://www.imdb.com/title/tt0307453/,Shark Tale,http://www.boxofficemojo.com/movies/?id=sharktale.htm,18785,nm0074426,10/1/2004,7/23/2004
64,Rob Letterman,http://www.imdb.com/name/nm1224299/,2004,Shark Tale,Director,http://www.imdb.com/title/tt0307453/,Shark Tale,http://www.boxofficemojo.com/movies/?id=sharktale.htm,28699,nm1224299,10/1/2004,7/23/2004
65,Emilio Estevez,http://www.imdb.com/name/nm0000389/,2006,Bobby,Director,http://www.imdb.com/title/tt0308055/,Bobby,http://www.boxofficemojo.com/movies/?id=bobby.htm,103,nm0000389,11/17/2006,9/8/2006
66,Paul Bolger,http://www.imdb.com/name/nm0092959/,2006,Happily N'Ever After,Director,http://www.imdb.com/title/tt0308353/,Happily N'Ever After,http://www.boxofficemojo.com/movies/?id=happilyneverafter.htm,296436,nm0092959,1/5/2007,10/27/2006
67,Marc Forster,http://www.imdb.com/name/nm0286975/,2004,Finding Neverland,Director,http://www.imdb.com/title/tt0308644/,Finding Neverland,http://www.boxofficemojo.com/movies/?id=findingneverland.htm,4747,nm0286975,11/12/2004,9/3/2004
68,Bernardo Bertolucci,http://www.imdb.com/name/nm0000934/,2003,The Dreamers,Director,http://www.imdb.com/title/tt0309987/,The Dreamers,http://www.boxofficemojo.com/movies/?id=dreamers.htm,1779,nm0000934,2/6/2004,11/28/2003
69,Jean-Paul Rappeneau,http://www.imdb.com/name/nm0710919/,2003,Bon voyage,Director,http://www.imdb.com/title/tt0310778/,Bon Voyage,http://www.boxofficemojo.com/movies/?id=bonvoyage.htm,17144,nm0710919,3/19/2004,1/9/2004
70,Steve Box,http://www.imdb.com/name/nm0101508/,2005,The Curse of the Were-Rabbit,Director,http://www.imdb.com/title/tt0312004/,Wallace and Gromit: The Curse of the Were-Rabbit,http://www.boxofficemojo.com/movies/?id=wallaceandgromit05.htm,30326,nm0101508,10/5/2005,7/27/2005
71,Nick Park,http://www.imdb.com/name/nm0661910/,2005,The Curse of the Were-Rabbit,Director,http://www.imdb.com/title/tt0312004/,Wallace and Gromit: The Curse of the Were-Rabbit,http://www.boxofficemojo.com/movies/?id=wallaceandgromit05.htm,7174,nm0661910,10/5/2005,7/27/2005
72,Charles S. Dutton,http://www.imdb.com/name/nm0001165/,2004,Against the Ropes,Director,http://www.imdb.com/title/tt0312329/,Against the Ropes,http://www.boxofficemojo.com/movies/?id=againsttheropes.htm,1758,nm0001165,2/20/2004,12/12/2003
73,Léa Pool,http://www.imdb.com/name/nm0690794/,2004,The Blue Butterfly,Director,http://www.imdb.com/title/tt0313300/,The Blue Butterfly,http://www.boxofficemojo.com/movies/?id=bluebutterfly.htm,15254,nm0690794,2/20/2004,12/12/2003
74,Brian Robbins,http://www.imdb.com/name/nm0005367/,2004,The Perfect Score,Director,http://www.imdb.com/title/tt0314498/,The Perfect Score,http://www.boxofficemojo.com/movies/?id=perfectscore.htm,4045,nm0005367,1/30/2004,11/21/2003
75,Joe Camp,http://www.imdb.com/name/nm0131995/,2004,Benji: Off the Leash!,Director,http://www.imdb.com/title/tt0315273/,Benji Off the Leash,http://www.boxofficemojo.com/movies/?id=benji04.htm,29834,nm0131995,8/20/2004,6/11/2004
76,Philip Kaufman,http://www.imdb.com/name/nm0442241/,2004,Twisted - Der erste Verdacht,Director,http://www.imdb.com/title/tt0315297/,Twisted,http://www.boxofficemojo.com/movies/?id=twisted.htm,3507,nm0442241,2/27/2004,12/19/2003
77,George Armitage,http://www.imdb.com/name/nm0000786/,2004,The Big Bounce,Director,http://www.imdb.com/title/tt0315824/,The Big Bounce,http://www.boxofficemojo.com/movies/?id=bigbounce.htm,5599,nm0000786,1/30/2004,11/21/2003
78,Sam Raimi,http://www.imdb.com/name/nm0000600/,2004,Spider-Man 2,Director,http://www.imdb.com/title/tt0316654/,Spider-Man 2,http://www.boxofficemojo.com/movies/?id=spiderman2.htm,958,nm0000600,6/30/2004,4/21/2004
79,Tim Story,http://www.imdb.com/name/nm1103162/,2004,Taxi,Director,http://www.imdb.com/title/tt0316732/,Taxi,http://www.boxofficemojo.com/movies/?id=taxi.htm,1994,nm1103162,10/6/2004,7/28/2004
80,Tim Story,http://www.imdb.com/name/nm4588077/,2004,Taxi,Director,http://www.imdb.com/title/tt0316732/,Taxi,http://www.boxofficemojo.com/movies/?id=taxi.htm,1994,nm4588077,10/6/2004,7/28/2004
81,Wayne Wang,http://www.imdb.com/name/nm0911061/,2005,Because of Winn-Dixie,Director,http://www.imdb.com/title/tt0317132/,Because of Winn-Dixie,http://www.boxofficemojo.com/movies/?id=winndixie.htm,4854,nm0911061,2/18/2005,12/10/2004
82,Beeban Kidron,http://www.imdb.com/name/nm0452319/,2004,Bridget Jones: The Edge of Reason,Director,http://www.imdb.com/title/tt0317198/,Bridget Jones: The Edge of Reason,http://www.boxofficemojo.com/movies/?id=bridgetjones2.htm,8957,nm0452319,11/12/2004,9/3/2004
83,John Lasseter,http://www.imdb.com/name/nm0005124/,2006,Cars,Director,http://www.imdb.com/title/tt0317219/,Cars,http://www.boxofficemojo.com/movies/?id=cars.htm,5627,nm0005124,6/9/2006,3/31/2006
84,Joe Ranft,http://www.imdb.com/name/nm0710020/,2006,Cars,Director,http://www.imdb.com/title/tt0317219/,Cars,http://www.boxofficemojo.com/movies/?id=cars.htm,5611,nm0710020,6/9/2006,3/31/2006
85,Joe Johnston,http://www.imdb.com/name/nm0002653/,2004,Hidalgo,Director,http://www.imdb.com/title/tt0317648/,Hidalgo,http://www.boxofficemojo.com/movies/?id=hidalgo.htm,4719,nm0002653,3/5/2004,12/26/2003
86,Brad Bird,http://www.imdb.com/name/nm0083348/,2004,The Incredibles,Director,http://www.imdb.com/title/tt0317705/,The Incredibles,http://www.boxofficemojo.com/movies/?id=incredibles.htm,3962,nm0083348,11/5/2004,8/27/2004
87,J.J. Abrams,http://www.imdb.com/name/nm0009190/,2006,Mission: Impossible III,Director,http://www.imdb.com/title/tt0317919/,Mission: Impossible III,http://www.boxofficemojo.com/movies/?id=mi3.htm,1249,nm0009190,5/5/2006,2/24/2006
88,Peter Hyams,http://www.imdb.com/name/nm0001382/,2005,A Sound of Thunder,Director,http://www.imdb.com/title/tt0318081/,A Sound of Thunder,http://www.boxofficemojo.com/movies/?id=soundofthunder.htm,5854,nm0001382,9/2/2005,6/24/2005
89,Walter Salles,http://www.imdb.com/name/nm0758574/,2004,The Motorcycle Diaries,Director,http://www.imdb.com/title/tt0318462/,The Motorcycle Diaries,http://www.boxofficemojo.com/movies/?id=motorcyclediaries.htm,4535,nm0758574,9/24/2004,7/16/2004
90,Alexander Witt,http://www.imdb.com/name/nm0936838/,2004,Resident Evil: Apocalypse,Director,http://www.imdb.com/title/tt0318627/,Resident Evil: Apocalypse,http://www.boxofficemojo.com/movies/?id=residentevilapocalypse.htm,6541,nm0936838,9/10/2004,7/2/2004
91,Breck Eisner,http://www.imdb.com/name/nm0252135/,2005,Sahara,Director,http://www.imdb.com/title/tt0318649/,Sahara,http://www.boxofficemojo.com/movies/?id=sahara.htm,8607,nm0252135,4/8/2005,1/28/2005
92,John Lee Hancock,http://www.imdb.com/name/nm0359387/,2004,The Alamo,Director,http://www.imdb.com/title/tt0318974/,The Alamo (2004),http://www.boxofficemojo.com/movies/?id=alamo.htm,6084,nm0359387,4/9/2004,1/30/2004
93,Roland Emmerich,http://www.imdb.com/name/nm0000386/,2004,The Day After Tomorrow,Director,http://www.imdb.com/title/tt0319262/,The Day After Tomorrow,http://www.boxofficemojo.com/movies/?id=dayaftertomorrow.htm,1357,nm0000386,5/28/2004,3/19/2004
94,Ridley Scott,http://www.imdb.com/name/nm0000631/,2005,Kingdom of Heaven,Director,http://www.imdb.com/title/tt0320661/,Kingdom of Heaven,http://www.boxofficemojo.com/movies/?id=kingdomofheaven.htm,573,nm0000631,5/6/2005,2/25/2005
95,Peter Howitt,http://www.imdb.com/name/nm0398185/,2004,Laws of Attraction,Director,http://www.imdb.com/title/tt0323033/,Laws of Attraction,http://www.boxofficemojo.com/movies/?id=lawsofattraction.htm,7693,nm0398185,4/30/2004,2/20/2004
96,E. Elias Merhige,http://www.imdb.com/name/nm0580729/,2004,Suspect Zero,Director,http://www.imdb.com/title/tt0324127/,Suspect Zero,http://www.boxofficemojo.com/movies/?id=suspectzero.htm,12354,nm0580729,8/27/2004,6/18/2004
97,Paul McGuigan,http://www.imdb.com/name/nm0006476/,2004,Wicker Park,Director,http://www.imdb.com/title/tt0324554/,Wicker Park,http://www.boxofficemojo.com/movies/?id=wickerpark.htm,9999,nm0006476,9/3/2004,6/25/2004
98,Barry Levinson,http://www.imdb.com/name/nm0001469/,2004,Envy,Director,http://www.imdb.com/title/tt0326856/,Envy,http://www.boxofficemojo.com/movies/?id=envy.htm,2471,nm0001469,4/30/2004,2/20/2004
99,John Dahl,http://www.imdb.com/name/nm0001093/,2005,The Great Raid,Director,http://www.imdb.com/title/tt0326905/,The Great Raid,http://www.boxofficemojo.com/movies/?id=greatraid.htm,8620,nm0001093,8/12/2005,6/3/2005
100,Gabriele Salvatores,http://www.imdb.com/name/nm0759368/,2003,I'm Not Scared,Director,http://www.imdb.com/title/tt0326977/,I'm Not Scared,http://www.boxofficemojo.com/movies/?id=imnotscared.htm,8418,nm0759368,4/9/2004,1/30/2004
101,Karey Kirkpatrick,http://www.imdb.com/name/nm0456732/,2006,Over the Hedge,Director,http://www.imdb.com/title/tt0327084/,Over the Hedge,http://www.boxofficemojo.com/movies/?id=overthehedge.htm,27277,nm0456732,5/19/2006,3/10/2006
102,Tim Johnson,http://www.imdb.com/name/nm0426333/,2006,Over the Hedge,Director,http://www.imdb.com/title/tt0327084/,Over the Hedge,http://www.boxofficemojo.com/movies/?id=overthehedge.htm,32827,nm0426333,5/19/2006,3/10/2006
103,Frank Oz,http://www.imdb.com/name/nm0000568/,2004,The Stepford Wives,Director,http://www.imdb.com/title/tt0327162/,The Stepford Wives,http://www.boxofficemojo.com/movies/?id=stepfordwives.htm,1061,nm0000568,6/11/2004,4/2/2004
104,Howard Deutch,http://www.imdb.com/name/nm0222043/,2004,The Whole Ten Yards,Director,http://www.imdb.com/title/tt0327247/,The Whole Ten Yards,http://www.boxofficemojo.com/movies/?id=wholetenyards.htm,6875,nm0222043,4/9/2004,1/30/2004
105,Frank Coraci,http://www.imdb.com/name/nm0178997/,2004,Around the World in 80 Days,Director,http://www.imdb.com/title/tt0327437/,Around the World in 80 Days,http://www.boxofficemojo.com/movies/?id=aroundtheworldin80days.htm,7215,nm0178997,6/16/2004,4/7/2004
106,Pitof,http://www.imdb.com/name/nm0685759/,2004,Catwoman,Director,http://www.imdb.com/title/tt0327554/,Catwoman,http://www.boxofficemojo.com/movies/?id=catwoman.htm,2187,nm0685759,7/23/2004,5/14/2004
107,Henry Selick,http://www.imdb.com/name/nm0783139/,2009,Coraline,Director,http://www.imdb.com/title/tt0327597/,Coraline,http://www.boxofficemojo.com/movies/?id=coraline.htm,3853,nm0783139,2/6/2009,11/28/2008
108,Tommy O'Haver,http://www.imdb.com/name/nm0641373/,2004,Ella Enchanted,Director,http://www.imdb.com/title/tt0327679/,Ella Enchanted,http://www.boxofficemojo.com/movies/?id=ellaenchanted.htm,15949,nm0641373,4/9/2004,1/30/2004
109,Tony Scott,http://www.imdb.com/name/nm0001716/,2004,Man on Fire,Director,http://www.imdb.com/title/tt0328107/,Man on Fire,http://www.boxofficemojo.com/movies/?id=manonfire.htm,1937,nm0001716,4/21/2004,2/11/2004
