,Columns are already created in the csv file at the rightest side,imdbcrewcastlink,year,imdbfilmtitle,role,imdbfilmlink,bomtitle,bomlink,starpower-director,name_id,releasedate,prior10weeksDate
2075,Andrew Erwin,http://www.imdb.com/name/nm3401779/,2011,October Baby,Director,http://www.imdb.com/title/tt1720182/,October Baby (2012),http://www.boxofficemojo.com/movies/?id=octoberbaby2012.htm,111650,nm3401779,3/23/2012,1/13/2012
2076,Jon Erwin,http://www.imdb.com/name/nm2296528/,2011,October Baby,Director,http://www.imdb.com/title/tt1720182/,October Baby (2012),http://www.boxofficemojo.com/movies/?id=octoberbaby2012.htm,105118,nm2296528,3/23/2012,1/13/2012
2077,Jennifer Westfeldt,http://www.imdb.com/name/nm0922724/,2011,Friends with Kids,Director,http://www.imdb.com/title/tt1720616/,Friends with Kids,http://www.boxofficemojo.com/movies/?id=friendswithkids.htm,2876,nm0922724,3/9/2012,12/30/2011
2078,Rawson Marshall Thurber,http://www.imdb.com/name/nm1098493/,2013,We're the Millers,Director,http://www.imdb.com/title/tt1723121/,We're the Millers,http://www.boxofficemojo.com/movies/?id=werethemillers.htm,2732,nm1098493,8/7/2013,5/29/2013
2079,Steve McQueen,http://www.imdb.com/name/nm2588606/,2011,Shame,Director,http://www.imdb.com/title/tt1723811/,Shame,http://www.boxofficemojo.com/movies/?id=shame.htm,2706,nm2588606,12/2/2011,9/23/2011
2080,Rowan Joffe,http://www.imdb.com/name/nm0423626/,2014,Before I Go to Sleep,Director,http://www.imdb.com/title/tt1726592/,Before I Go To Sleep,http://www.boxofficemojo.com/movies/?id=beforeigotosleep.htm,16153,nm0423626,10/31/2014,8/22/2014
2081,William Friedkin,http://www.imdb.com/name/nm0001243/,2011,Killer Joe,Director,http://www.imdb.com/title/tt1726669/,Killer Joe,http://www.boxofficemojo.com/movies/?id=killerjoe.htm,3572,nm0001243,7/27/2012,5/18/2012
2082,Jim Rash,http://www.imdb.com/name/nm0711110/,2013,The Way Way Back,Director,http://www.imdb.com/title/tt1727388/,"The Way, Way Back",http://www.boxofficemojo.com/movies/?id=waywayback.htm,1954,nm0711110,7/5/2013,4/26/2013
2083,Nat Faxon,http://www.imdb.com/name/nm0269542/,2013,The Way Way Back,Director,http://www.imdb.com/title/tt1727388/,"The Way, Way Back",http://www.boxofficemojo.com/movies/?id=waywayback.htm,4844,nm0269542,7/5/2013,4/26/2013
2084,Christopher Landon,http://www.imdb.com/name/nm0484907/,2015,Scouts Guide to the Zombie Apocalypse,Director,http://www.imdb.com/title/tt1727776/,Scouts Guide to the Zombie Apocalypse,http://www.boxofficemojo.com/movies/?id=scoutsvszombies.htm,7783,nm0484907,10/30/2015,8/21/2015
2085,Siddique,http://www.imdb.com/name/nm0796504/,2011,Bodyguard,Director,http://www.imdb.com/title/tt1729637/,Bodyguard,http://www.boxofficemojo.com/movies/?id=bodyguard2011.htm,47036,nm0796504,8/31/2011,6/22/2011
2086,Gavin Hood,http://www.imdb.com/name/nm0004303/,2013,Ender's Game,Director,http://www.imdb.com/title/tt1731141/,Ender's Game,http://www.boxofficemojo.com/movies/?id=endersgame.htm,6276,nm0004303,11/1/2013,8/23/2013
2087,Rupert Sanders,http://www.imdb.com/name/nm2782185/,2012,Snow White and the Huntsman,Director,http://www.imdb.com/title/tt1735898/,Snow White and the Huntsman,http://www.boxofficemojo.com/movies/?id=snowwhiteandthehuntsman.htm,975,nm2782185,6/1/2012,3/23/2012
2088,Michael Winterbottom,http://www.imdb.com/name/nm0935863/,2010,The Trip,Director,http://www.imdb.com/title/tt1740047/,The Trip (2011),http://www.boxofficemojo.com/movies/?id=trip2011.htm,1426,nm0935863,6/10/2011,4/1/2011
2089,Tom Shadyac,http://www.imdb.com/name/nm0001723/,2010,I Am,Director,http://www.imdb.com/title/tt1741225/,I Am,http://www.boxofficemojo.com/movies/?id=iam.htm,8007,nm0001723,2/18/2011,12/10/2010
2090,Billy Ray,http://www.imdb.com/name/nm0712753/,2015,Secret in Their Eyes,Director,http://www.imdb.com/title/tt1741273/,The Secret in their Eyes (2015),http://www.boxofficemojo.com/movies/?id=secretintheireyes2015.htm,10240,nm0712753,11/20/2015,9/11/2015
